judge_name,plaintiff,defendant,charges,first_judge,case_number,verdict
Jacobson,Cairnsmore Holdings Pty Ltd,Bearsden Holdings Pty Ltd,Breach of contract and misleading conduct under the Trade Practices Act,1,11.0,Others
Tamberlin,Hoy Mobile Pty Ltd,Allphones Retail Pty Ltd,Fraudulent conduct and legal professional privilege,1,11.0,Dismissed
Collier,Success Capital Pty Ltd,Hope Island Resort Holdings Pty Ltd,Breach of s 52 Trade Practices Act 1974 (Cth) and alleged misrepresentations,1,11.0,Others
Jacobson,Re Universal Music Pty Ltd,Sharman Licence Holdings Ltd; Ex parte Merlin BV,Access to a defunct court file to gather evidence for potential copyright infringement case,1,17.0,Approved
Buchanan,King Furniture Australia,Dare Gallery,Misleading or deceptive advertising within the meaning of s 52 of the Trade Practices Act 1974 (Cth),1,12.0,Others
Besanko,Termite Tite No 2 Limited,Term-Seal Pty Limited,Infringement of claims in a patent,1,22.0,Others
Gordon,West International Pty Ltd,Ultradrilling Pty Ltd,Genuine dispute about the existence or amount of the debt and offsetting claims,1,12.0,Approved
Foster,Alcon Inc,Bausch and Lomb Pty Ltd,Infringement of registered trade mark,1,12.0,Approved
Finkelstein,Run Corp Limited,McGrath Limited,Breach of non-competition clause,1,18.0,Approved
Heerey,Cadbury Schweppes Pty Ltd,Darrell Lea Chocolate Shops Pty Ltd,"Contravention of ss 52, 53(c), and 53(d) of the Trade Practices Act 1974 and passing off using the colour Cadbury purple",1,14.0,Approved
Flick,Metso Minerals Ltd,Kalra,"Breach of an equitable duty of confidence, breach of employment consultancy agreements and confidentiality agreements, breach of fiduciary duty, infringement of copyright",1,34.0,Others
Reeves,Food Channel Network Pty Ltd,"Television Food Network, G.P",Opposition to trade mark registration and fair trial process,1,21.0,Others
Finkelstein,Bella Products Pty Ltd,Creative Designs International Ltd,"Whether CDI agreed to distribute in North America a range of toys known as the __et Up __ Move_ (GUNM) range, which BP manufactures.",1,17.0,Others
