name,draft_pick,college,team_name
andre jamal drummond,9.0,University of Connecticut,Philadelphia 76ers
andrew christian wiggins,1.0,Kansas Jayhawks,Golden State Warriors
anthony edwards,1.0,Georgia,Minnesota Timberwolves
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers
ausar xlnc thompson,5.0,,Detroit Pistons
austin tyler reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons
"chavano rainer ""buddy"" hield",6.0,Oklahoma Sooners,Golden State Warriors
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
d'angelo russell,2.0,Ohio State,Los Angeles Lakers
dan anderson,2.0,,Portland Trail Blazers
derek grimm,0.0,University of Missouri,Sacramento Kings
devin armani booker,13.0,Kentucky Wildcats,Phoenix Suns
don anielak,26.0,Southwest Missouri State University,New York Knicks
draymond jamal green,35.0,Michigan State University,Golden State Warriors
"edrice femi ""bam"" adebayo",14.0,University of Kentucky,Miami Heat
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
isiah thomas,2.0,Indiana Hoosiers,Detroit Pistons
jabari dominic walker,57.0,Colorado,Portland Trail Blazers
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons
jaime jaquez,18.0,UCLA,Miami Heat
jalen marquis brunson,33.0,Villanova University,New York Knicks
jarrett jack,22.0,Georgia Tech,Detroit Pistons
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
joel hans embiid,3.0,University of Kansas,Philadelphia 76ers
john harding lucas,1.0,University of Maryland,Houston Rockets
jonathan malangu kuminga,7.0,,Golden State Warriors
jrue randall holiday,17.0,UCLA,Boston Celtics
"kenneth ""apple"" green",11.0,Pan American University,New York Knicks
kevin wayne durant,2.0,University of Texas at Austin,Phoenix Suns
kevin wesley love,5.0,UCLA,Miami Heat
kevon grant looney,30.0,UCLA,Golden State Warriors
kyle forman anderson,30.0,UCLA,Golden State Warriors
kyle terrell lowry,24.0,Villanova Wildcats,Philadelphia 76ers
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lebron raymone james,1.0,,Los Angeles Lakers
lonzo anderson ball,2.0,UCLA,Chicago Bulls
mark price,25.0,Georgia Tech,Orlando Magic
"ogugua ""og"" anunoby",23.0,Indiana University,New York Knicks
paul clifton anthony george,10.0,Fresno State,Philadelphia 76ers
tim duncan,1.0,Wake Forest University,San Antonio Spurs
trayce jackson-davis,57.0,Indiana Hoosiers,Golden State Warriors
tyler christopher herro,13.0,University of Kentucky,Miami Heat
victor wembanyama,1.0,,San Antonio Spurs
zach collins,10.0,Gonzaga Bulldogs,San Antonio Spurs
zachary thomas lavine,13.0,UCLA,Chicago Bulls
