name,draft_pick,college,team_name,id,player.id,team.id
andre jamal drummond,9,University of Connecticut,Philadelphia 76ers,,,
andrew christian wiggins,1,Kansas Jayhawks,Golden State Warriors,,,
anthony edwards,1,Georgia Bulldogs,Minnesota Timberwolves,,,
anthony marshon davis,1,Kentucky Wildcats,Los Angeles Lakers,,,
austin tyler reaves,17,Wichita State Shockers,Los Angeles Lakers,,,
caleb martin,17,NC State Wolfpack,Philadelphia 76ers,,,
"chavano rainer ""buddy"" hield",6,Oklahoma Sooners,Philadelphia 76ers,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2,Ohio State Buckeyes,Los Angeles Lakers,,,
darnell hillman,8,San Jose State University,Indiana Pacers,,,
devin armani booker,13,Kentucky Wildcats,Phoenix Suns,,,
draymond jamal green,35th overall,Michigan State Spartans,Golden State Warriors,,,
duncan mcbryde robinson,undrafted,Williams College,Miami Heat,,,
"edrice femi ""bam"" adebayo",14,University of Kentucky,Miami Heat,,,
giannis sina ugo antetokounmpo,15,Filathlitikos,Milwaukee Bucks,,,
greg fillmore gregory paul fillmore,8th round,Cheyney University of Pennsylvania,New York Knicks,,,
harrison bryce jordan barnes,7,North Carolina Tar Heels,San Antonio Spurs,,,
"harry junior ""the horse"" gallatin",20,Northeast Missouri State Teachers' College,New York Knicks,,,
jabari dominic walker,57,Colorado Buffaloes,Portland Trail Blazers,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,New York Knicks,,,
jamal crawford,8,University of Michigan,New York Knicks,,,
jarrett jack,22,Georgia Tech,New York Knicks,,,
jaylen marselles brown,3,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,3,Duke Blue Devils,Boston Celtics,,,
jimmy butler,30,Tyler Junior College,Miami Heat,,,
joel hans embiid,3,University of Kansas,Philadelphia 76ers,,,
jonathan malangu kuminga,7,,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
"kenneth ""apple"" green",11,Pan American University,New York Knicks,,,
kermit washington,5,American University,Los Angeles Lakers,,,
kevin wayne durant,2,University of Texas at Austin,Phoenix Suns,,,
kevin wesley love,5,UCLA Bruins,Miami Heat,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kobe bean bryant,13,Lower Merion High School,Los Angeles Lakers,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24,Villanova Wildcats,Philadelphia 76ers,,,
kyrie andrew irving,1,Duke Blue Devils,Dallas Mavericks,,,
lebron raymone james,1,St. Vincent–St. Mary High School,Los Angeles Lakers,,,
lonzo anderson ball,2,UCLA Bruins,Chicago Bulls,,,
magic johnson,1,Michigan State,Los Angeles Lakers,,,
mark price,25th overall,Georgia Tech,Cleveland Cavaliers,,,
"ogugua ""og"" anunoby",23,Indiana University,New York Knicks,,,
paul clifton anthony george,10,Fresno State Bulldogs,Philadelphia 76ers,,,
rik smits,2,Marist College,Indiana Pacers,,,
rodney strickland,17,DePaul University,New York Knicks,,,
shaquille rashaun o'neal,1,LSU,Orlando Magic,,,
trayce jackson-davis,57,Indiana Hoosiers,Golden State Warriors,,,
trent tucker,6,University of Minnesota,New York Knicks,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
victor wembanyama,1,Metropolitans 92,San Antonio Spurs,,,
wardell stephen curry,7,Davidson Wildcats,Golden State Warriors,,,
zach collins,10th overall pick in the 2017 NBA draft,Gonzaga Bulldogs,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
