query_id,query_text,nl_query,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,relative_error,error
S1,"SELECT area, city_name, gdp FROM city","What is the name, geographic area, and GDP of each NBA home city mentioned in the documents?",True,PZ,49.16925621032715,29,131517,3484,135001,0.37931034482758624,0.37931034482758624,0.37931034482758624,29,19,False,,
S2,"SELECT nba_team, name, own_year FROM owner","For each NBA team owner described in the documents, what is their name, which team do they own, and what year did they acquire ownership?",True,PZ,15.615954637527466,16,36247,1285,37532,0.7916666666666666,0.7916666666666666,0.7916666666666666,16,14,False,,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78","What is the name, state, and geographic area of each NBA home city?",True,PZ,53.525007247924805,0,143623,3960,147583,0.0,0.0,0.0,1,0,False,,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642","What is the name, state, and geographic area of each city where an NBA team is based?",True,PZ,59.72753405570984,1,152266,4125,156391,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,False,,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'","For each NBA team owner, what is their name, age, and which team do they own?",True,PZ,20.29064679145813,15,35788,1890,37678,0.7555555555555555,0.7555555555555555,0.7555555555555555,15,13,False,,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66","What is each NBA team owner's name, age, and which team do they own?",True,PZ,20.03936266899109,9,33507,1859,35366,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,7,False,,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0","For each NBA player, how many MVP awards have they won, what was their draft pick number, and how many FIBA World Cup titles have they earned?",True,PZ,180.09617161750793,28,415908,14258,430166,0.0,0.0,0.0,121,0,False,,
F14,"SELECT position, nationality, age FROM player WHERE age < 91","What is each NBA player's playing position, nationality, and age?",True,PZ,206.5775625705719,115,348444,20096,368540,0.0,0.0,0.0,126,0,False,,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '","For each NBA team, what is its name, founding year, and who currently owns it?",True,PZ,51.02244257926941,30,131593,3699,135292,0.5679012345679012,0.5111111111111111,0.638888888888889,24,21,False,,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989","For each NBA team, who owns it, how many championships has it won, and when was it founded?",True,PZ,60.9635112285614,24,131803,4833,136636,0.0,0.0,0.0,25,0,False,,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position","For each NBA player, what is their playing position and how many Olympic gold medals have they won?",True,PZ,122.33460426330566,17,326155,9903,336058,,,,3,,True,1.0,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position","For each NBA player, what is their playing position and age?",True,PZ,202.48918795585632,34,348563,19365,367928,,,,3,,True,1.0,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their age, how many Olympic gold medals have they won, which team do they play for, how many championships has that team won, and where is the team based?",True,PZ,220.26282572746277,49,502043,18449,520492,0.0,0.0,0.0,88,0,False,,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name","For each NBA player, what is their name, which team do they currently play for, and when was that team founded?",True,PZ,199.47852683067322,69,478234,17778,496012,0.6114649681528661,0.6956521739130435,0.5454545454545454,88,55,False,,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position","For each NBA player, what is their playing position and how many Olympic gold medals have they won? Also note which team they play for.",True,PZ,176.33480763435364,13,459554,13860,473414,,,,3,,True,1.0,
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position","For each NBA player, what is their playing position, how many Olympic gold medals have they won, which team do they play for, who owns the team, and what city is the team in?",True,PZ,258.00465178489685,0,637590,21273,658863,,,,2,,True,1.0,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,PZ,18.594749927520752,3,33363,1678,35041,,,,3,,True,0.5396158463385354,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality","For each NBA player, what is their name, nationality, and how many NBA championships have they won?",True,PZ,163.10362601280212,23,357882,14596,372478,,,,23,,True,0.6128695652173913,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality","For each NBA player, what is their nationality, how many Olympic gold medals have they won, and which team do they play for?",True,PZ,245.8533582687378,4,586458,19899,606357,,,,3,,True,0.6,
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality","For each NBA player, what is their nationality, how many MVP awards have they won, who owns their team, and what city does the team play in?",True,PZ,277.9181160926819,1,642411,23740,666151,,,,1,,True,0.0,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality","For each NBA team owner, what is their nationality and age?",True,PZ,19.24883008003235,3,33363,1777,35140,,,,3,,True,0.5,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team","For each NBA player, which team do they play for, what was their draft pick, and how many Olympic gold medals have they won?",True,PZ,309.64208006858826,1,380895,28048,408943,,,,29,,True,0.9655172413793104,
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality","For each NBA player, what is their nationality and how many Olympic gold medals have they won?",True,PZ,126.21558880805969,1,326633,10725,337358,,,,1,,True,0.0,
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0","For each NBA player, what was their draft pick number, how many FIBA World Cup titles have they won, which team do they play for, and where is that team based?",True,PZ,277.6889111995697,13,675638,24803,700441,0.0,0.0,0.0,16,0,False,,
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522","For each NBA player, what is their name, which team do they play for, who owns that team, how old is the owner, when was the team founded, and in which city does the team play?",True,PZ,311.10517287254333,0,673363,25770,699133,0.0,0.0,0.0,0,0,False,,
