name,nationality,age,team_name,location
Buddy Hield Chavano Rainer,Bahamian,32.0,Philadelphia 76ers,"Camden, New Jersey"
D'Angelo Russell D'Angelo Russell,American,,Los Angeles Lakers,Downtown Los Angeles
Joel Hans Embiid,Cameroonian-American,31.0,Philadelphia 76ers,"Camden, New Jersey"
Paul Clifton Anthony George,American,,Philadelphia 76ers,"Camden, New Jersey"
Kyrie Irving,American,33.0,Dallas Mavericks,Dallas
Jayson Tatum,American,28.0,Boston Celtics,Boston
Caleb Martin,American,27.35,Philadelphia 76ers,"Camden, New Jersey"
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
Max Fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey"
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",British,25.97,New York Knicks,New York City
Jaylen Marselles Brown,American,27.0,Boston Celtics,Boston
Victor Wembanyama,French,19.0,San Antonio Spurs,San Antonio
Jrue Holiday,American,35.0,Boston Celtics,Boston
Austin Tyler Reaves,American,26.0,Los Angeles Lakers,Downtown Los Angeles
Kevin Wesley Love,American,,Miami Heat,Miami
Giannis Antetokounmpo,Greek and Nigerian,29.0,Milwaukee Bucks,Milwaukee
Stephen Curry,American,37.0,Golden State Warriors,San Francisco
Al Horford,Dominican-American,38.0,Boston Celtics,Boston
Tyler Herro,American,24.0,Miami Heat,Miami
Duncan McBryde Robinson,American,31.0,Miami Heat,Miami
Anthony Marshon Davis Jr.,American,32.0,Los Angeles Lakers,Downtown Los Angeles
Kyle Anderson (basketball),American-Chinese,,Golden State Warriors,San Francisco
LeBron Raymone James Sr.,American,40.0,Los Angeles Lakers,Downtown Los Angeles
Jimmy Butler III,American,35.0,Miami Heat,Miami
Kevon Looney Kevon Grant Looney,American,,Golden State Warriors,San Francisco
Zach LaVine,American,28.0,Chicago Bulls,Chicago
Kyle Lowry,American,39.0,Philadelphia 76ers,"Camden, New Jersey"
Michael Jeffrey Jordan,American,,Chicago Bulls,Chicago
Devin Armani Booker,Mexican-American and Puerto Rican,28.0,Phoenix Suns,Phoenix
Draymond Jamal Green,American,35.0,Golden State Warriors,San Francisco
Zach Collins,American,,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Lonzo Anderson Ball,American,27.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,24.0,Miami Heat,Miami
Jalen Marquis Brunson,American,29.0,New York Knicks,New York City
Shaquille Rashaun O'Neal,American,33.0,Orlando Magic,Orlando
Kobe Bean Bryant,American,41.0,Los Angeles Lakers,Downtown Los Angeles
Christopher Emmanuel Paul,American,39.0,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,33.0,San Antonio Spurs,San Antonio
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",American-born naturalized Nigerian,28.0,Miami Heat,Miami
Carrick Felix,American,,Cleveland Cavaliers,Cleveland
"Kenneth ""Apple"" Green",American,,New York Knicks,New York City
Anthony Avent,American,55.3425,Milwaukee Bucks,Milwaukee
Jarrett Matthew Jack,American,41.958333333333336,New York Knicks,New York City
"Earvin ""Magic"" Johnson Jr.",American,42.0,Los Angeles Lakers,Downtown Los Angeles
Jahlil Okafor,Nigerian-American,30.0,Philadelphia 76ers,"Camden, New Jersey"
Kelvin Trent Tucker,American,,New York Knicks,New York City
Vernon Maxwell,American,,Houston Rockets,Houston
Timothy Theodore Duncan,American-born naturalized Azerbaijani,28.0,San Antonio Spurs,San Antonio
Rik Smits,Dutch,,Indiana Pacers,Indianapolis
Anthony Edwards,American,25.0,Minnesota Timberwolves,Minneapolis
Harry Gallatin Harry Junior,American,,New York Knicks,New York City
Darnell Hillman,,73.0,Indiana Pacers,Indianapolis
Mark Price William Mark Price,American,,Cleveland Cavaliers,Cleveland
Kurt Vincent Thomas,American,,New York Knicks,New York City
Kevin Durant Kevin Wayne Durant,American,36.0,Phoenix Suns,Phoenix
Aaron Williams,American,53.0,Utah Jazz,Salt Lake City
William Bedford,American,,Phoenix Suns,Phoenix
Steven Delano Smith,American,36.0,Miami Heat,Miami
Rod Strickland,American,,New York Knicks,New York City
Lamar Brandon Stevens,American,28.0,Boston Celtics,Boston
"Dewayne ""D. J."" White, Jr.",American,,Cleveland Cavaliers,Cleveland
,,,Chicago Bulls,Chicago
William Severlyn Hewitt,American,,Los Angeles Lakers,Downtown Los Angeles
Jabari Dominic Walker,American,23.0,Portland Trail Blazers,Portland
Jamal Crawford Aaron Jamal Crawford,American,25.0,New York Knicks,New York City
Kermit Alan Washington,American,73.0,Los Angeles Lakers,Downtown Los Angeles
Greg Fillmore,,,New York Knicks,New York City
Dennis Schröder,German,32.0,Toronto Raptors,Toronto
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
Andre Drummond,American,32.0,Philadelphia 76ers,"Camden, New Jersey"
