name,position,city_name,population
Kyrie Irving,Backcourt,Dallas,1299544.0
Jayson Tatum,Frontcourt,Boston,691531.0
Andrew Christian Wiggins,Frontcourt,San Francisco,873965.0
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",Frontcourt,New York City,8258035.0
Jaylen Marselles Brown,"Shooting Guard, Small Forward",Boston,691531.0
Victor Wembanyama,Frontcourt,San Antonio,2608598.0
Giannis Antetokounmpo,forward and sometimes described as a point forward,Milwaukee,577222.0
Tyler Herro,Backcourt,Miami,442241.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Zach LaVine,Backcourt,Chicago,2746388.0
Devin Armani Booker,Backcourt,Phoenix,1608139.0
Jonathan Kuminga,Frontcourt,San Francisco,873965.0
Lonzo Anderson Ball,point guard,Chicago,2746388.0
Jaime Jaquez Jr.,Forward,Miami,442241.0
Jalen Marquis Brunson,Point Guard,New York City,8258035.0
Shaquille Rashaun O'Neal,Center,Orlando,307573.0
Harrison Bryce Jordan Barnes,Backcourt,San Antonio,2608598.0
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",Frontcourt,Miami,442241.0
Timothy Theodore Duncan,power forward,San Antonio,2608598.0
Anthony Edwards,Shooting Guard,Minneapolis,429954.0
Lamar Brandon Stevens,Frontcourt,Boston,691531.0
Jabari Dominic Walker,,Portland,652503.0
Jamal Crawford Aaron Jamal Crawford,Backcourt,New York City,8258035.0
Dennis Schröder,Backcourt,Toronto,9000.0
Trayce Jackson-Davis,Frontcourt,San Francisco,873965.0
