name,team,position,nationality,draft_year
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kyrie Irving,Dallas Mavericks,Frontcourt,American,2011
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Austin Tyler Reaves,Los Angeles Lakers,Frontcourt,American,2021
Giannis Antetokounmpo,Milwaukee Bucks,Frontcourt,Greek,2013
Al Horford,Atlanta Hawks,Frontcourt,Dominican Republic,2006
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kevon Looney,Golden State Warriors,Frontcourt,American,2014
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Devin Booker,Phoenix Suns,Frontcourt,American,2015
Brandan Keith Wright,Golden State Warriors,Frontcourt,American,2007
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jonathan Kuminga,Golden State Warriors,Frontcourt,American,2021
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Ausar Thompson,Detroit Pistons,Frontcourt,American,2023
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Shaquille O'Neal,Orlando Magic,Frontcourt,American,1992
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Adebayo,Miami Heat,Frontcourt,American,2017
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Isiah Thomas,Detroit Pistons,Frontcourt,American,1981
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Okafor,Whitney Young High School,Frontcourt,American,2010
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Schintzius,San Antonio Spurs,Frontcourt,American,1990
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Gene Dyker,Milwaukee Hawks,Frontcourt,American,1953
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Edwards,Minnesota Timberwolves,Frontcourt,American,2021
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Steve Kerr,Chicago Bulls,Frontcourt,American,1988
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Greg Foster,Indiana Pacers,Frontcourt,American,1990
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Trayce Jackson-Davis,Indiana Pacers,Frontcourt,American,2023
Andre Drummond,Detroit Pistons,Frontcourt,American,2012
