name,team,position,nationality,draft_year
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Paul Clifton Anthony George,Philadelphia 76ers,Frontcourt,American,2010
Kyrie Irving,Duke,Frontcourt,American,2011
Jayson Tatum,Duke University,Frontcourt,American,2016
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jaylen Brown,Boston Celtics,Frontcourt,American,2016
Victor Wembanyama,San Antonio Spurs,Frontcourt,French,2023
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Austin Reaves,Wichita State,Frontcourt,American,None
Kevin Love,Cleveland Cavaliers,Frontcourt,American,2008
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Anthony Davis,Pelicans,Frontcourt,American,2011
Cade Cunningham,Detroit Pistons,Frontcourt,American,2021
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Brandan Keith Wright,Charlotte Bobcats,Frontcourt,American,2007
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jonathan Kuminga,Golden State Warriors,Frontcourt,Congolese,2021
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Chris Paul,Hornets,Frontcourt,American,2005
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jay Fletcher Vincent,Dallas Mavericks,Frontcourt,American,1981
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kobe Bryant,,Frontcourt,American,1996
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Magic Johnson,Los Angeles Lakers,Frontcourt,American,1979
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Isiah Thomas,Detroit,Frontcourt,American,1981
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jahlil Okafor,Capitanes de Arecibo,Frontcourt,Nigerian-American,2015
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Dwayne Schintzius,San Antonio Spurs,Frontcourt,American,1990
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Tim Duncan,San Antonio Spurs,Frontcourt,American,1997
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kevin Durant,Brooklyn,Frontcourt,American,2007
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jackson-Davis,Golden State Warriors,Frontcourt,United States,2023
Andre Drummond,Philadelphia 76ers,Frontcourt,American,2012
