,disease_name,disease_type,pathogenesis,etiology,diagnostic_methods,common_symptoms,complications,affected_organs,treatments,drugs,prognosis,sequelae,epidemiology,risk_factors,preventive_measures,diagnosis_challenges,treatment_challenges,quality_of_life_impact,id
0,Chlamydia,infectious,infectious_bacterial,sexually transmitted infection,laboratory_test||screening,unusual vaginal discharge||pain or burning sensation during urination||frequent urination||bleeding between periods||bleeding after sex||grey or pale yellow discharge||pain during sex||problems with urination||abdominal pain||pain during sex||pain during urination||unusually painful or heavy periods||unusual discharge (may be green or yellow)||severe pain in the abdomen||fever||nausea||vomiting,cervicitis||pelvic inflammatory disease||ectopic pregnancy||pneumonia in babies||chlamydial conjunctivitis||infertility,cervix||womb||fallopian tubes||ovaries||reproductive organs||eyes (in babies)||lungs (in babies),oral_medication||injection,antibiotics,full_recovery||asymptomatic,infertility||blindness in children,very common sexually transmitted infection||especially amongst young men and women,infection,screening||safe_sex_practices,nonspecific symptoms||asymptomatic,,,1768
1,Type 2 Diabetes Mellitus,metabolic||endocrine,metabolic_disorder||endocrine_disorder||inflammatory,obesity||increased lipid levels||inflammation||insulin resistance,,,heart related complications||metabolic complications||inflammation,gastrointestinal system||abdomen,oral_medication||lifestyle_modification||dietary_intervention||regular_exercise,metformin,,,,obesity||increased lipid levels||inflammation||insulin resistance,regular_exercise||dietary_management,,,,1965
2,Pleural Effusion,inflammatory||infectious||vascular||others,inflammatory||infectious_bacterial||vascular||other,pneumonia||pulmonary embolism||kidney disease||congestive heart failure,,shortness of breath||chest pain,,lungs||pleura||chest,oral_medication||other,antibiotics||diuretics||Combiflam,,,,,,,,,12
3,Irritable Bowel Syndrome (IBS),functional,,,functional_test,abdominal pain||constipation||diarrhea||altered bowel movements,,gastrointestinal tract||rectosigmoid colon,oral_medication||dietary_intervention,tegaserod maleate||alosetron,,,,,,lack of accurate diagnostic test,,quality_of_life_decline||social_isolation,1953
4,Diabetes type 1,autoimmune||endocrine,autoimmune||endocrine_disorder,genetic_susceptibility||environmental_factors||diet||infections,laboratory_test,thirst||polyuria||weight_loss||healthy_appetite||weakness||muscle_pain||fatigue||irritability||nausea||vomiting||blurry_vision,blindness||cardiovascular_disorders||large_blood_vessel_damage||kidney_damage||eye_damage||nerve_damage||coma,large_blood_vessels||kidneys||eyes||nerves||pancreas,injection||dietary_intervention||lifestyle_modification,insulin,chronic_condition||quality_of_life_impairment,blindness||cardiovascular_disorders||large_blood_vessel_damage||kidney_damage||eye_damage||nerve_damage,100000_in_Netherlands||12000_children_under_20_in_Netherlands||more_common_in_children_and_young_adults||increasing_in_children||average_age_of_onset_7.6_years,genetic_predisposition||infection||diet||age,,,,quality_of_life_decline,1129
5,Vohwinkel syndrome,genetic,genetic_mutation,mutations to the GJB2 gene,clinical_evaluation,loss of fingers||loss of toes||starfish-shaped patches of thickened skin||honeycomb-like calluses on palms and soles||patches of infected skin||itching||peeling,anemia||thrombocytopenia,fingers||toes||skin||arms||legs||palms||soles,oral_medication||surgery,acitretin,disability||quality_of_life_impairment||stable,loss of fingers||loss of toes,Only around 50 people have been confirmed to have contracted it worldwide||occurs most often among Caucasian women,genetic_predisposition,,nonspecific symptoms||disease mimics||lack of early recognition,,mobility_impairment||self_care_difficulty||dependence_on_others||body_image_issues||emotional_distress||quality_of_life_decline,37
6,Gout,metabolic||inflammatory,metabolic_disorder||inflammatory,hyperuricemia,clinical_evaluation,joint pain||toe pain||recurring attacks,,joints||big toe||elbow||ankle||wrist,oral_medication||lifestyle_modification||dietary_intervention,NSAIDS||aspirin||ibuprofen||naproxen||Milk Thistle,high_recurrence_risk,,more common in males,obesity||alcohol_consumption||smoking||hypertension||unhealthy_diet||family_history,lifestyle_modification,,high_recurrence_risk||withdrawal_symptoms,chronic_pain||mobility_impairment,1977
7,Lung Cancer,neoplastic,genetic_mutation||neoplastic,smoking||secondhand smoke||environmental exposures||asbestos||radon||arsenic||chromium||radiation exposure,clinical_evaluation,cough||hemoptysis||shortness of breath||chest pain||hoarse voice||facial swelling||neck swelling||weight gain||moon face||weakness||bone pain||kidney stones,metastatic lung cancer||superior vena cava syndrome||paraneoplastic syndrome,lungs||blood vessels||nerves||bones||liver||brain,chemotherapy||radiotherapy||surgery,,high_mortality||progressive,,number one cause of cancer death in the United States in both men and women||second most common cause of cancer||non-small cell lung cancer makes up about 85 percent of lung cancers,smoking||secondhand smoke||environmental_exposure||radiation_exposure,,,,,1415
8,Multiple Myeloma,neoplastic,neoplastic,,,,blood clots,plasma cells||bone marrow||bone,chemotherapy||stem cell transplantation,Doxil||Oncovin||dexamethasone||Thalomid||Velcade,remission_possible,,,,,,,,1755
9,Phantom Limb Pain,traumatic,traumatic,amputation of a limb,,pain||aches,,limbs||nervous system,physical_therapy||injection||oral_medication||device_implantation,pain reliever,,,,,,,financial_burden,chronic_pain||emotional_distress,51
