city_name,state_name,team_name,name
San Francisco,California,Golden State Warriors,"Buddy Hield Chavano Rainer ""Buddy"" Hield"
Boston,Massachusetts,Boston Celtics,Jayson Tatum
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Boston,Massachusetts,Boston Celtics,Jrue Holiday
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves
Miami,Florida,Miami Heat,Kevin Wesley Love
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II
Boston,Massachusetts,Boston Celtics,Al Horford
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
Miami,Florida,Miami Heat,Jimmy Butler III
Chicago,Illinois,Chicago Bulls,Zach LaVine
Charlotte,North Carolina,Charlotte Hornets,Michael Jordan Michael Jeffrey Jordan
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker
San Francisco,California,Golden State Warriors,Jonathan Kuminga
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
Dallas,Texas,Dallas Mavericks,Jalen Marquis Brunson
Los Angeles,California,Los Angeles Lakers,Kobe Bean Bryant
San Antonio,Texas,San Antonio Spurs,Chris Paul
Miami,Florida,Miami Heat,Bam Adebayo
Los Angeles,California,Los Angeles Lakers,Earvin Johnson
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
Phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant
Houston,Texas,Houston Rockets,Kostas Papanikolaou
Los Angeles,California,Los Angeles Lakers,Kermit Washington
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis
