name,birth_date,team_name,area
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,232
"Buddy Hield Chavano Rainer ""Buddy"" Hield",1992/12/17,Golden State Warriors,232
Draymond Jamal Green,1990/3/4,Golden State Warriors,232
Jonathan Kuminga,2002/10/6,Golden State Warriors,232
Kevon Looney,1996/2/6,Golden State Warriors,232
Kyle Anderson,1993/9/20,Golden State Warriors,232
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,232
Wardell Stephen Curry II,1988/3/14,Golden State Warriors,232
,,Phoenix Suns,1341
Devin Armani Booker,1996/10/30,Phoenix Suns,1341
Kevin Durant Kevin Wayne Durant,1988/9/29,Phoenix Suns,1341
William Bedford,1963/12/14,Phoenix Suns,1341
Al Horford,1986/6/3,Boston Celtics,125
Garfield Smith,1945/11/18,Boston Celtics,125
Jaylen Marselles Brown,1996/10/24,Boston Celtics,125
Jayson Tatum,1998/3/6,Boston Celtics,125
Jrue Holiday,1990/6/12,Boston Celtics,125
Derrick Chievous,1967/7/3,Houston Rockets,637.4
John Harding Lucas II,1953/10/31,Houston Rockets,637.4
Kostas Papanikolaou,1990/7/31,Houston Rockets,637.4
Vernon Maxwell,1965/9/12,Houston Rockets,637.4
Michael Jordan Michael Jeffrey Jordan,1963/2/17,Charlotte Hornets,312.0
Tony Delk,1974/1/28,Charlotte Hornets,312.0
Anthony Avent,1969/10/18,Milwaukee Bucks,250.71
Giannis Antetokounmpo,1994/12/6,Milwaukee Bucks,250.71
Darnell Hillman,1949/8/29,Indiana Pacers,367.9
Rik Smits,1966/8/23,Indiana Pacers,367.9
Erick Strickland,1973/11/25,Dallas Mavericks,385.8
Jalen Marquis Brunson,1996/8/31,Dallas Mavericks,385.8
Jay Fletcher Vincent,1959/6/10,Dallas Mavericks,385.8
Chris Paul,1985/5/6,San Antonio Spurs,1205.4
Dwayne Schintzius,1968/10/14,San Antonio Spurs,1205.4
Harrison Barnes Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,1205.4
Timothy Theodore Duncan,1976/4/25,San Antonio Spurs,1205.4
Victor Wembanyama,2004/1/4,San Antonio Spurs,1205.4
Zach Collins,1997/11/19,San Antonio Spurs,1205.4
Anthony Marshon Davis Jr.,1993/3/11,Los Angeles Lakers,502.7
Austin Tyler Reaves,1998/5/29,Los Angeles Lakers,502.7
D'Angelo Russell,1996/2/23,Los Angeles Lakers,502.7
Earvin Johnson,1959/8/14,Los Angeles Lakers,502.7
Kermit Washington,1951/9/17,Los Angeles Lakers,502.7
Kobe Bean Bryant,1978/8/23,Los Angeles Lakers,502.7
LeBron Raymone James Sr.,1984/12/30,Los Angeles Lakers,502.7
William Severlyn Hewitt,1944/8/8,Los Angeles Lakers,502.7
Anthony Edwards,2001/8/5,Minnesota Timberwolves,152.8
Donyell Lamar Marshall,1973/5/18,Minnesota Timberwolves,152.8
