name,college,team_name,gdp
"Buddy Hield Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners,Golden State Warriors,$729 billion
D'Angelo Russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0
Jayson Tatum,Duke University,Boston Celtics,
Andrew Christian Wiggins,Kansas Jayhawks,Golden State Warriors,$729 billion
Jaylen Marselles Brown,California Golden Bears,Boston Celtics,
Victor Wembanyama,Metropolitans 92,San Antonio Spurs,$121 billion
Jrue Holiday,UCLA Bruins,Boston Celtics,
Austin Tyler Reaves,Wichita State Shockers,Los Angeles Lakers,1000000.0
Kevin Wesley Love,UCLA Bruins,Miami Heat,$344.9 billion
Giannis Antetokounmpo,Filathlitikos,Milwaukee Bucks,10200000000.0
Wardell Stephen Curry II,Davidson College,Golden State Warriors,$729 billion
Al Horford,University of Florida,Boston Celtics,
Tyler Herro,University of Kentucky,Miami Heat,$344.9 billion
Duncan McBryde Robinson,Williams College Ephs,Miami Heat,$344.9 billion
Anthony Marshon Davis Jr.,Kentucky Wildcats,Los Angeles Lakers,1000000.0
Kyle Anderson,UCLA Bruins,Golden State Warriors,$729 billion
LeBron Raymone James Sr.,St. Vincent–St. Mary High School,Los Angeles Lakers,1000000.0
Jimmy Butler III,Tyler Junior College,Miami Heat,$344.9 billion
Kevon Looney,UCLA Bruins,Golden State Warriors,$729 billion
Zach LaVine,UCLA Bruins,Chicago Bulls,$689 billion
Michael Jordan Michael Jeffrey Jordan,North Carolina Tar Heels,Charlotte Hornets,
Devin Armani Booker,University of Kentucky,Phoenix Suns,$362 billion
Draymond Jamal Green,Michigan State Spartans,Golden State Warriors,$729 billion
Zach Collins,Gonzaga Bulldogs,San Antonio Spurs,$121 billion
Jonathan Kuminga,UNLV,Golden State Warriors,$729 billion
Lonzo Anderson Ball,UCLA Bruins,Chicago Bulls,$689 billion
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,$344.9 billion
Jalen Marquis Brunson,Villanova University,Dallas Mavericks,
Shaquille O'Neal,LSU Tigers,Orlando Magic,$13.4 billion
Kobe Bean Bryant,,Los Angeles Lakers,1000000.0
Chris Paul,Wake Forest University,San Antonio Spurs,$121 billion
Harrison Barnes Harrison Bryce Jordan Barnes,North Carolina Tar Heels,San Antonio Spurs,$121 billion
Bam Adebayo,University of Kentucky,Miami Heat,$344.9 billion
Jay Fletcher Vincent,Michigan State Spartans,Dallas Mavericks,
Anthony Avent,Seton Hall University,Milwaukee Bucks,10200000000.0
Earvin Johnson,Michigan State,Los Angeles Lakers,1000000.0
Dwayne Schintzius,University of Florida,San Antonio Spurs,$121 billion
Vernon Maxwell,University of Florida,Houston Rockets,
Timothy Theodore Duncan,Wake Forest Demon Deacons,San Antonio Spurs,$121 billion
Tony Delk,University of Kentucky,Charlotte Hornets,
Derrick Chievous,University of Missouri,Houston Rockets,
Rik Smits,Marist College,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)"
Anthony Edwards,University of Georgia,Minnesota Timberwolves,
Darnell Hillman,San Jose State University,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)"
Kurt Vincent Thomas,Texas Christian University,Miami Heat,$344.9 billion
Kevin Durant Kevin Wayne Durant,University of Texas,Phoenix Suns,$362 billion
William Bedford,Memphis State University,Phoenix Suns,$362 billion
,University of Arizona,Phoenix Suns,$362 billion
Kostas Papanikolaou,,Houston Rockets,
Kermit Washington,American University,Los Angeles Lakers,1000000.0
Donyell Lamar Marshall,University of Connecticut,Minnesota Timberwolves,
John Harding Lucas II,"University of Maryland, College Park",Houston Rockets,
Garfield Smith,,Boston Celtics,
Trayce Jackson-Davis,Indiana,Golden State Warriors,$729 billion
