name,position,team_name,founded_year
"Buddy Hield Chavano Rainer ""Buddy"" Hield",Backcourt,Golden State Warriors,1946
Kyrie Irving,Backcourt,Cleveland Cavaliers,1970
Jayson Tatum,Frontcourt,Boston Celtics,1946
Andrew Christian Wiggins,Frontcourt,Golden State Warriors,1946
OG Anunoby Ogugua,Frontcourt,New York Knicks,1946
Jaylen Marselles Brown,shooting guard,Boston Celtics,1946
Jrue Holiday,Backcourt,Boston Celtics,1946
Kevin Wesley Love,Forward,Miami Heat,1988
Giannis Antetokounmpo,forward and sometimes described as a point forward,Milwaukee Bucks,1968
Wardell Stephen Curry II,Point guard,Golden State Warriors,1946
Al Horford,Frontcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
Anthony Marshon Davis Jr.,power forward,Los Angeles Lakers,1946
LeBron Raymone James Sr.,Frontcourt,Los Angeles Lakers,1946
Jimmy Butler III,Forward,Miami Heat,1988
Zach LaVine,Backcourt,Chicago Bulls,1966
Devin Armani Booker,Backcourt,Phoenix Suns,1968
Lonzo Anderson Ball,point guard,Chicago Bulls,1966
Jalen Marquis Brunson,Point Guard,Dallas Mavericks,1980
Chris Paul,Point Guard,San Antonio Spurs,1967
Bam Adebayo,Frontcourt,Miami Heat,1988
Earvin Johnson,Power forward,Los Angeles Lakers,1946
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967
Kevin Durant Kevin Wayne Durant,small forward,Phoenix Suns,1968
Lamar Brandon Stevens,,Cleveland Cavaliers,1970
Kostas Papanikolaou,small forward,Houston Rockets,1971
,Shooting Guard,Brooklyn Nets,1967
Dennis Schröder,Backcourt,Brooklyn Nets,1967
