city_name,state_name,team_name,name,college
San Francisco,California,Golden State Warriors,"Buddy Hield Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes
Boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke University
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,California Golden Bears
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama,Metropolitans 92
Boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins
Los Angeles,California,Los Angeles Lakers,Austin Tyler Reaves,Wichita State Shockers
Miami,Florida,Miami Heat,Kevin Wesley Love,UCLA Bruins
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson College
Boston,Massachusetts,Boston Celtics,Al Horford,University of Florida
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College Ephs
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats
Los Angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,St. Vincent–St. Mary High School
Miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College
San Francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins
Charlotte,North Carolina,Charlotte Hornets,Michael Jordan Michael Jeffrey Jordan,North Carolina Tar Heels
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker,University of Kentucky
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans
San Francisco,California,Golden State Warriors,Jonathan Kuminga,UNLV
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins
Dallas,Texas,Dallas Mavericks,Jalen Marquis Brunson,Villanova University
San Antonio,Texas,San Antonio Spurs,Chris Paul,Wake Forest University
Miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky
Los Angeles,California,Los Angeles Lakers,Earvin Johnson,Michigan State
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,University of Georgia
Phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,University of Texas
Houston,Texas,Houston Rockets,Kostas Papanikolaou,
Los Angeles,California,Los Angeles Lakers,Kermit Washington,American University
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana
