name,position,city_name,population
"Buddy Hield Chavano Rainer ""Buddy"" Hield",Backcourt,San Francisco,808988.0
Jayson Tatum,Frontcourt,Boston,675647.0
Andrew Christian Wiggins,Frontcourt,San Francisco,808988.0
Jaylen Marselles Brown,shooting guard,Boston,675647.0
Victor Wembanyama,Frontcourt,San Antonio,2608988.0
Austin Tyler Reaves,,Los Angeles,3792621.0
Giannis Antetokounmpo,forward and sometimes described as a point forward,Milwaukee,577222.0
Tyler Herro,point guard,Miami,442241.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Anthony Marshon Davis Jr.,power forward,Los Angeles,3792621.0
Zach LaVine,Backcourt,Chicago,2746388.0
Michael Jordan Michael Jeffrey Jordan,Owner,Charlotte,874579.0
Devin Armani Booker,Backcourt,Phoenix,1662607.0
Jonathan Kuminga,Small Forward,San Francisco,808988.0
Lonzo Anderson Ball,point guard,Chicago,2746388.0
Jaime Jaquez Jr.,Forward,Miami,442241.0
Jalen Marquis Brunson,Point Guard,Dallas,1304379.0
Kobe Bean Bryant,Shooting Guard,Los Angeles,3792621.0
Bam Adebayo,Frontcourt,Miami,442241.0
Timothy Theodore Duncan,power forward,San Antonio,2608988.0
Anthony Edwards,Shooting Guard,Minneapolis,429954.0
Kostas Papanikolaou,small forward,Houston,2314157.0
Kermit Washington,Big defensive forward,Los Angeles,3792621.0
Trayce Jackson-Davis,Forward,San Francisco,808988.0
