name,team_name,city_name,state_name
"Buddy Hield Chavano Rainer ""Buddy"" Hield",Golden State Warriors,San Francisco,California
D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
Jayson Tatum,Boston Celtics,Boston,Massachusetts
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Holiday,Boston Celtics,Boston,Massachusetts
Austin Tyler Reaves,Los Angeles Lakers,Los Angeles,California
Kevin Wesley Love,Miami Heat,Miami,Florida
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Wardell Stephen Curry II,Golden State Warriors,San Francisco,California
Al Horford,Boston Celtics,Boston,Massachusetts
Tyler Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Anthony Marshon Davis Jr.,Los Angeles Lakers,Los Angeles,California
Kyle Anderson,Golden State Warriors,San Francisco,California
LeBron Raymone James Sr.,Los Angeles Lakers,Los Angeles,California
Jimmy Butler III,Miami Heat,Miami,Florida
Kevon Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Michael Jordan Michael Jeffrey Jordan,Charlotte Hornets,Charlotte,North Carolina
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Jalen Marquis Brunson,Dallas Mavericks,Dallas,Texas
Shaquille O'Neal,Orlando Magic,Orlando,Florida
Kobe Bean Bryant,Los Angeles Lakers,Los Angeles,California
Chris Paul,San Antonio Spurs,San Antonio,Texas
Harrison Barnes Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
Bam Adebayo,Miami Heat,Miami,Florida
Jay Fletcher Vincent,Dallas Mavericks,Dallas,Texas
Anthony Avent,Milwaukee Bucks,Milwaukee,Wisconsin
Earvin Johnson,Los Angeles Lakers,Los Angeles,California
Dwayne Schintzius,San Antonio Spurs,San Antonio,Texas
Vernon Maxwell,Houston Rockets,Houston,Texas
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Tony Delk,Charlotte Hornets,Charlotte,North Carolina
Derrick Chievous,Houston Rockets,Houston,Texas
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Darnell Hillman,Indiana Pacers,Indianapolis,Indiana
Kurt Vincent Thomas,Miami Heat,Miami,Florida
Kevin Durant Kevin Wayne Durant,Phoenix Suns,Phoenix,Arizona
William Bedford,Phoenix Suns,Phoenix,Arizona
,Phoenix Suns,Phoenix,Arizona
William Severlyn Hewitt,Los Angeles Lakers,Los Angeles,California
Kostas Papanikolaou,Houston Rockets,Houston,Texas
Erick Strickland,Dallas Mavericks,Dallas,Texas
Kermit Washington,Los Angeles Lakers,Los Angeles,California
Donyell Lamar Marshall,Minnesota Timberwolves,Minneapolis,Minnesota
John Harding Lucas II,Houston Rockets,Houston,Texas
Garfield Smith,Boston Celtics,Boston,Massachusetts
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
