team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Clippers,Inglewood,Inglewood,California
Los Angeles Lakers,Los Angeles,Los Angeles,California
Memphis Grizzlies,Memphis,Memphis,Tennessee
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Boston Celtics,Boston,Boston,Massachusetts
Thunder,Oklahoma City,Oklahoma City,Oklahoma
Orlando Magic,Orlando,Orlando,Florida
Phoenix Suns,Phoenix,Phoenix,Arizona
Kings,Sacramento,Sacramento,California
San Antonio Spurs,San Antonio,San Antonio,Texas
New Orleans Jazz,New Orleans,New Orleans,Louisiana
Charlotte Hornets,Charlotte,Charlotte,North Carolina
Chicago Bulls,Chicago,Chicago,Illinois
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
Pistons,Detroit,Detroit,Michigan
