name,nationality,age,team_name,location
"Buddy Hield Chavano Rainer ""Buddy"" Hield",Bahamian,32.0,Golden State Warriors,San Francisco
D'Angelo Russell,American,,Los Angeles Lakers,Los Angeles
Kyrie Irving,American,33.0,Cleveland Cavaliers,Independence
Jayson Tatum,American,27.0,Boston Celtics,Boston
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
OG Anunoby Ogugua,British,26.0,New York Knicks,New York City
Jaylen Marselles Brown,American,28.0,Boston Celtics,Boston
Victor Wembanyama,French,21.0,San Antonio Spurs,San Antonio
Jrue Holiday,American,35.0,Boston Celtics,Boston
Austin Tyler Reaves,American,,Los Angeles Lakers,Los Angeles
Kevin Wesley Love,American,36.0,Miami Heat,Miami
Giannis Antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee
Wardell Stephen Curry II,American,37.0,Golden State Warriors,San Francisco
Al Horford,Dominican,38.0,Boston Celtics,Boston
Tyler Herro,American,24.0,Miami Heat,Miami
Duncan McBryde Robinson,American,31.0,Miami Heat,Miami
Anthony Marshon Davis Jr.,American,32.0,Los Angeles Lakers,Los Angeles
Kyle Anderson,American-Chinese,,Golden State Warriors,San Francisco
LeBron Raymone James Sr.,American,40.0,Los Angeles Lakers,Los Angeles
Jimmy Butler III,American,35.0,Miami Heat,Miami
Kevon Looney,American,,Golden State Warriors,San Francisco
Zach LaVine,American,28.0,Chicago Bulls,Chicago
Michael Jordan Michael Jeffrey Jordan,American,21.0,Charlotte Hornets,Charlotte
Devin Armani Booker,American,28.0,Phoenix Suns,Phoenix
Draymond Jamal Green,American,,Golden State Warriors,San Francisco
Zach Collins,American,,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Lonzo Anderson Ball,American,27.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,22.0,Miami Heat,Miami
Jalen Marquis Brunson,American,28.0,Dallas Mavericks,Dallas
Shaquille O'Neal,American,,Orlando Magic,Orlando
Kobe Bean Bryant,American,17.0,Los Angeles Lakers,Los Angeles
Chris Paul,American,38.0,San Antonio Spurs,San Antonio
Harrison Barnes Harrison Bryce Jordan Barnes,American,,San Antonio Spurs,San Antonio
Bam Adebayo,American-born naturalized Nigerian,28.0,Miami Heat,Miami
Carrick Felix,American,,Cleveland Cavaliers,Independence
"Kenneth ""Apple"" Green",American,,New York Knicks,New York City
Jay Fletcher Vincent,American,,Dallas Mavericks,Dallas
Donald Robert Anielak,American,,New York Knicks,New York City
Anthony Avent,American,,Milwaukee Bucks,Milwaukee
Earvin Johnson,American,36.0,Los Angeles Lakers,Los Angeles
Daniel Edward Anderson,American,,Portland Trail Blazers,"Tualatin, Oregon"
Trent Tucker,American,,New York Knicks,New York City
Dwayne Schintzius,American,,San Antonio Spurs,San Antonio
Vernon Maxwell,American,,Houston Rockets,Houston
Timothy Theodore Duncan,American-born naturalized Azerbaijani,28.0,San Antonio Spurs,San Antonio
Walter Berry,American,,Portland Trail Blazers,"Tualatin, Oregon"
Tony Delk,American,,Charlotte Hornets,Charlotte
Derrick Chievous,American,,Houston Rockets,Houston
Rik Smits,Dutch,,Indiana Pacers,Indianapolis
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Darnell Hillman,American,,Indiana Pacers,Indianapolis
Mark Price William Mark Price,American,,Cleveland Cavaliers,Independence
Kurt Vincent Thomas,American,,Miami Heat,Miami
Kevin Durant Kevin Wayne Durant,American,36.0,Phoenix Suns,Phoenix
William Bedford,American,,Phoenix Suns,Phoenix
Shawn Respert,American,,Portland Trail Blazers,"Tualatin, Oregon"
,,,Portland Trail Blazers,"Tualatin, Oregon"
Lamar Brandon Stevens,American,28.0,Cleveland Cavaliers,Independence
,,,Phoenix Suns,Phoenix
William Severlyn Hewitt,American,,Los Angeles Lakers,Los Angeles
Kostas Papanikolaou,Greek,34.0,Houston Rockets,Houston
Jabari Dominic Walker,American,,Portland Trail Blazers,"Tualatin, Oregon"
Erick Strickland,American,,Dallas Mavericks,Dallas
,,40.0,Brooklyn Nets,Brooklyn
Kermit Washington,American,21.0,Los Angeles Lakers,Los Angeles
Donyell Lamar Marshall,American,,Minnesota Timberwolves,Minneapolis
Greg Fillmore,American,,New York Knicks,New York City
John Harding Lucas II,American,,Houston Rockets,Houston
Garfield Smith,American,,Boston Celtics,Boston
Dennis Schröder,German,32.0,Brooklyn Nets,Brooklyn
Trayce Jackson-Davis,American,23.0,Golden State Warriors,San Francisco
