name,draft_pick,college,team_name
"Buddy Hield Chavano Rainer ""Buddy"" Hield",6,Oklahoma Sooners,Golden State Warriors
D'Angelo Russell,2,Ohio State Buckeyes,Los Angeles Lakers
Kyrie Irving,1,Duke University,Cleveland Cavaliers
Jayson Tatum,3,Duke University,Boston Celtics
Andrew Christian Wiggins,1,Kansas Jayhawks,Golden State Warriors
OG Anunoby Ogugua,23,Indiana University,New York Knicks
Jaylen Marselles Brown,3,California Golden Bears,Boston Celtics
Victor Wembanyama,1,Metropolitans 92,San Antonio Spurs
Jrue Holiday,17,UCLA Bruins,Boston Celtics
Austin Tyler Reaves,42,Wichita State Shockers,Los Angeles Lakers
Kevin Wesley Love,5,UCLA Bruins,Miami Heat
Giannis Antetokounmpo,15,Filathlitikos,Milwaukee Bucks
Wardell Stephen Curry II,7,Davidson College,Golden State Warriors
Al Horford,3,University of Florida,Boston Celtics
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan McBryde Robinson,undrafted,Williams College Ephs,Miami Heat
Anthony Marshon Davis Jr.,1,Kentucky Wildcats,Los Angeles Lakers
Kyle Anderson,30,UCLA Bruins,Golden State Warriors
LeBron Raymone James Sr.,1,St. Vincent–St. Mary High School,Los Angeles Lakers
Jimmy Butler III,30,Tyler Junior College,Miami Heat
Kevon Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Michael Jordan Michael Jeffrey Jordan,3,North Carolina Tar Heels,Charlotte Hornets
Devin Armani Booker,13,University of Kentucky,Phoenix Suns
Draymond Jamal Green,35,Michigan State Spartans,Golden State Warriors
Zach Collins,10,Gonzaga Bulldogs,San Antonio Spurs
Jonathan Kuminga,7,UNLV,Golden State Warriors
Lonzo Anderson Ball,2,UCLA Bruins,Chicago Bulls
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Jalen Marquis Brunson,33,Villanova University,Dallas Mavericks
Shaquille O'Neal,1,LSU Tigers,Orlando Magic
Kobe Bean Bryant,13,,Los Angeles Lakers
Chris Paul,4,Wake Forest University,San Antonio Spurs
Harrison Barnes Harrison Bryce Jordan Barnes,7,North Carolina Tar Heels,San Antonio Spurs
Bam Adebayo,14,University of Kentucky,Miami Heat
Carrick Felix,33,Arizona State Sun Devils,Cleveland Cavaliers
"Kenneth ""Apple"" Green",11,Pan American University,New York Knicks
Jay Fletcher Vincent,24,Michigan State Spartans,Dallas Mavericks
Donald Robert Anielak,26th overall,Moberly Junior College,New York Knicks
Anthony Avent,15,Seton Hall University,Milwaukee Bucks
Earvin Johnson,1,Michigan State,Los Angeles Lakers
Daniel Edward Anderson,2,,Portland Trail Blazers
Trent Tucker,6,University of Minnesota,New York Knicks
Dwayne Schintzius,24,University of Florida,San Antonio Spurs
Vernon Maxwell,2,University of Florida,Houston Rockets
Timothy Theodore Duncan,1,Wake Forest Demon Deacons,San Antonio Spurs
Walter Berry,14,St. John's University,Portland Trail Blazers
Tony Delk,16,University of Kentucky,Charlotte Hornets
Derrick Chievous,16,University of Missouri,Houston Rockets
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,University of Georgia,Minnesota Timberwolves
Darnell Hillman,8,San Jose State University,Indiana Pacers
Mark Price William Mark Price,25,Georgia Tech,Cleveland Cavaliers
Kurt Vincent Thomas,1995,Texas Christian University,Miami Heat
Kevin Durant Kevin Wayne Durant,2,University of Texas,Phoenix Suns
William Bedford,6,Memphis State University,Phoenix Suns
Shawn Respert,8,Michigan State,Portland Trail Blazers
Lamar Brandon Stevens,undrafted,Penn State Nittany Lions,Cleveland Cavaliers
,50,University of Arizona,Phoenix Suns
Kostas Papanikolaou,48,,Houston Rockets
Jabari Dominic Walker,57,Colorado Buffaloes,Portland Trail Blazers
Kermit Washington,5,American University,Los Angeles Lakers
Donyell Lamar Marshall,4,University of Connecticut,Minnesota Timberwolves
Greg Fillmore,8-1,Cheyney University of Pennsylvania,New York Knicks
John Harding Lucas II,1,"University of Maryland, College Park",Houston Rockets
Garfield Smith,10,,Boston Celtics
Dennis Schröder,17,,Brooklyn Nets
Trayce Jackson-Davis,57,Indiana,Golden State Warriors
