founded_year,ownership,team_name,id,team.id
1946,Atlanta Spirit LLC,atlanta hawks,,
1946,Boston Basketball Partners L.L.C.,boston celtics,,
1967,Joseph Tsai,brooklyn nets,,
1988,Gabe Plotkin and Rick Schnall,charlotte hornets,,
1970,George and Gordon Gund,cleveland cavaliers,,
2000,Miriam Adelson and Patrick Dumont,dallas mavericks,,
1967,Stan Kroenke,denver nuggets,,
1967,Rick Carlisle,indiana pacers,,
1994,Steve Ballmer,los angeles clippers,,
1946,Jeanie Buss,los angeles lakers,,
1995,Robert J. Pera,memphis grizzlies,,
1988,Carnival Cruise Lines,miami heat,,
1968,"Wes Edens, Marc Lasry, and Jamie Dinan",milwaukee bucks,,
1989,Glen Taylor,minnesota timberwolves,,
2002,Tom Benson,new orleans pelicans,,
1946,Dolan,new york knicks,,
1946,Apollo Global Management,philadelphia 76ers,,
1968,Mat Ishbia,phoenix suns,,
1970,Vulcan Inc.,portland trail blazers,,
1983,Vivek Ranadivé,sacramento kings,,
1967,Peter M. Holt and a group of 22 investors,san antonio spurs,,
1995,Maple Leaf Sports & Entertainment (MLSE),toronto raptors,,
1963,Ted Leonsis through Monumental Sports & Entertainment,washington wizards,,
