draft_pick,team_name,fiba_world_cup,location
1.0,San Antonio Spurs,1.0,San Antonio
57.0,Golden State Warriors,1.0,San Francisco
5.0,Detroit Pistons,1.0,Detroit
14.0,Miami Heat,2.0,Miami
7.0,San Antonio Spurs,1.0,San Antonio
3.0,Boston Celtics,1.0,Boston
17.0,Brooklyn Nets,1.0,"Barclays Center, Brooklyn, New York"
1.0,Minnesota Timberwolves,8.0,Minnesota
17.0,Boston Celtics,2.0,Boston
1.0,Golden State Warriors,1.0,San Francisco
,Miami Heat,1.0,Miami
30.0,Golden State Warriors,1.0,San Francisco
3.0,Boston Celtics,1.0,Boston
