founded_year,ownership,team_name
1970.0,"Ballmer, S",Los Angeles Clippers
1995.0,Maple Leaf Sports & Entertainment (MLSE),Toronto Raptors
1987.0,Micky Arison,Miami Heat
1946.0,Peter Guber and Joe Lacob,Golden State Warriors
1968.0,"Wes Edens, Marc Lasry",Milwaukee Bucks
1966.0,Wirtz family,Chicago Bulls
1988.0,Michael Jordan,Charlotte Hornets
1967.0,"Angelo Drossos, John Schaefer, and Red McCombs",San Antonio Spurs
1945.0,"Joseph Benvenuti, Gregg Lukenbill",Sacramento Kings
1967.0,Larry Bird,Indiana Pacers
1946.0,Jerry Buss,Los Angeles Lakers
1995.0,Robert J. Pera,Memphis Grizzlies
1967.0,Joseph Tsai,Brooklyn Nets
1967.0,Charlie Thomas and Sidney Shlenker,Houston Rockets
1967.0,Clay Bennett,Oklahoma City Thunder
1970.0,Dan Gilbert,Cavaliers
1946.0,"Boston Basketball Partners L.L.C., led by H. Irving Grousbeck, Wycliffe Grousbeck and Steve Pagliuca",The Boston Celtics
1968.0,Robert Sarver,Phoenix Suns
1989.0,Glen Taylor,Minnesota Timberwolves
1946.0,Harris Blitzer Sports & Entertainment,Philadelphia 76ers
1967.0,Stan Kroenke,Denver Nuggets
1937.0,Bill Davidson's family or organization,Detroit Pistons
2002.0,NBA,Pelicans
1946.0,"Ted Turner, Atlanta Spirit LLC",Atlanta Hawks
1989.0,DeVos,Orlando Magic
1980.0,"H. Ross Perot, Jr.",Dallas Mavericks
1946.0,Ned Irish,New York Knicks
1974.0,Larry H. Miller,Utah Jazz
1961.0,Monumental Sports & Entertainment,Washington Wizards
1970.0,Paul Allen,Portland Trail Blazers
