position,avg_age
,54.0
,39.333333333333336
Center,30.0
F,44.5
Forward/Guard,46.5
Guard,34.625
Guard/Forward,38.0
N/A,73.0
Not specified,27.0
PF,39.0
PG,39.0
PG/SG,24.0
Point Guard,43.8
SF,26.0
SG,50.0
basketball,64.0
basketball player,21.5
center,41.0
defenceman,20.0
forward,39.5625
forward/center,64.0
guard,40.0
player,71.5
point guard,37.7
power forward,36.0
power forward and center,30.0
power forward-center,40.0
power forward/center,52.0
power forward/stretch four,35.0
shooting guard,39.111111111111114
shooting guard/small forward,28.0
small forward,34.75
