age,nba_team,name
65.0,Dallas Mavericks,Mark Cuban
64.0,Oklahoma City Thunder,Clay Bennett
77.0,Pelicans,Gayle Benson
68.0,Los Angeles Clippers,Steve Ballmer
69.0,New York Knicks,James L. Dolan
,Orlando Magic,Dan DeVos
59.0,Philadelphia 76ers,Joshua Jordan Harris
74.0,Miami Heat,Micky Arison
67.0,Golden State Warriors,Joe Lacob
,Indiana Pacers,
66.0,Houston Rockets,Tilman Joseph Fertitta
1964.0,Brooklyn Nets,Joseph Tsai
76.0,Denver Nuggets,Stan Kroenke
88.0,Chicago Bulls,Jerry Reinsdorf
60.0,Detroit Pistons,Tom Gores
