city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley",,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA,,,,
boston,Massachusetts,Boston Celtics,Al Horford,University of Florida,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke Blue Devils,,,,
dallas,Texas,Dallas Mavericks,Erick Strickland,University of Nebraska,,,,
houston,Texas,Houston Rockets,John Harding Lucas II,University of Maryland,,,,
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA Bruins,,,,
miami,Florida,Miami Heat,Tyler Herro,University of Kentucky,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College Ephs, Michigan Wolverines",,,,
miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins,,,,
miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia Bulldogs,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,University of Kentucky,,,,
sacramento,California,Sacramento Kings,Shaquille Rashaun O'Neal,LSU,,,,
salt lake city,Utah,Utah Jazz,Aaron Williams,Xavier University,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,,
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill,,,,
san antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest University,,,,
san francisco,California,Golden State Warriors,Buddy Hield Chavano Rainer,Oklahoma Sooners,,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,University of Kansas,,,,
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson,,,,
san francisco,California,Golden State Warriors,Kyle Anderson,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins,,,,
san francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State University,,,,
san francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,,,,,
san francisco,California,Golden State Warriors,Jordan Lee Crawford,Indiana University,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana,,,,
toronto,Ontario,Toronto Raptors,Dennis Schröder,,,,,
