city_name,state_name,team_name,name,college,city.id,id,player.id,team.id
boston,Massachusetts,Celtics,Jayson Tatum,,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke University,,,,
detroit,Michigan,Detroit Pistons,Jaden Ivey,Purdue Boilermakers,,,,
detroit,Michigan,Detroit Pistons,Ausar XLNC Thompson,,,,,
los angeles,California,Los Angeles Lakers,Earvin Johnson,,,,,
los angeles,California,Lakers,LeBron James,,,,,
los angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,,,,,
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State,,,,
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,Penn State Nittany Lions,,,,
miami,Florida,Miami Heat,Kevin Love,UCLA,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,University of Michigan,,,,
miami,Florida,Miami Heat,Jimmy Butler,Marquette University,,,,
miami,Florida,Miami Heat,Kurt Vincent Thomas,Texas Christian University,,,,
miami,Florida,Miami Heat,Tyler Herro,Kentucky,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,,,,,
new york city,New York,New York Knicks,Jalen Marquis Brunson,Villanova University,,,,
new york city,New York,New York Knicks,Kenneth 'Apple' Green,,,,,
new york city,New York,New York Knicks,Kelvin Trent Tucker,University of Minnesota,,,,
new york city,New York,New York Knicks,Gregory Paul Fillmore,Cheyney University of Pennsylvania,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack",,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack",,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice Owls,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,Rice Owls,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats,,,,
san antonio,Texas,San Antonio Spurs,Chris Paul,Wake Forest University,,,,
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill,,,,
san antonio,Texas,San Antonio Spurs,Harrison Barnes,,,,,
san antonio,Texas,Spurs,Duncan,,,,,
