city_name,state_name,team_name,name,college
boston,Massachusetts,Boston Celtics,Stanley M. Noszka,
dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
detroit,Michigan,Detroit Pistons,Jarrett Jack,Georgia Tech
detroit,Michigan,Detroit Pistons,Isiah Thomas,Indiana Hoosiers
los angeles,California,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Michigan State Spartans
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky
los angeles,California,Los Angeles Lakers,Philip Douglas Jackson,University of North Dakota
los angeles,California,Los Angeles Lakers,Magic Johnson,Michigan State
los angeles,California,Los Angeles Clippers,Aaron Williams,Xavier University
memphis,Tennessee,Memphis Grizzlies,Lamar Brandon Stevens,Penn State Nittany Lions
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo",University of Kentucky
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
milwaukee,Wisconsin,Milwaukee Bucks,Guy William Rodgers,Temple University
new york city,New York,New York Knicks,"Kenneth ""Apple"" Green",Pan American University
new york city,New York,New York Knicks,Don Anielak,Southwest Missouri State University
new york city,New York,New York Knicks,Calvin Ramsey,NYU
new york city,New York,New York Knicks,Kurt Thomas,Texas Christian University
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Edward Gordon,UCLA
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen,Temple University
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond,University of Connecticut
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid,University of Kansas
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George,Fresno State
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,"NC State Wolfpack, Nevada Wolf Pack"
philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler,Rice Owls
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry,Villanova Wildcats
phoenix,Arizona,Phoenix Suns,Miles Julian Simon,University of Arizona
san antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga Bulldogs
san antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
