ownership,championship,founded_year,team_name,id,team.id
Atlanta Spirit LLC,1.0,1977,atlanta hawks,,
Boston Basketball Partners L.L.C.,18.0,1946,boston celtics,,
Since 2012,2.0,1967,brooklyn nets,,
Gabe Plotkin and Rick Schnall,,1988,charlotte hornets,,
Jerry Reinsdorf,6.0,1966,chicago bulls,,
George and Gordon Gund,2.0,1970,cleveland cavaliers,,
Stan Kroenke,2.0,1967,denver nuggets,,
Tom Gores,3.0,1937,detroit pistons,,
Bob Fitzgerald,7.0,1946,golden state warriors,,
Tilman Fertitta,2.0,1967,houston rockets,,
Rick Carlisle,3.0,1967,indiana pacers,,
Steve Ballmer,0.0,1970,los angeles clippers,,
Jeanie Buss,17.0,1946,los angeles lakers,,
Carnival Cruise Lines,6.0,1988,miami heat,,
"Wes Edens, Marc Lasry and Jamie Dinan",3.0,1968,milwaukee bucks,,
"Prior to the beginning of the 1949–50 season, the BAA merged with the National Basketball League to form the National Basketball Association which comprised 17 teams.",2.0,1946,new york knicks,,
Oklahoma City-based ownership group,1.0,1967,oklahoma city thunder,,
Apollo Global Management,3.0,1946,philadelphia 76ers,,
Mat Ishbia,0.0,1968,phoenix suns,,
Vulcan Inc.,1.0,1970,portland trail blazers,,
Dyal Capital,1.0,1945,sacramento kings,,
Peter M. Holt and a group of 22 investors,6.0,1967,san antonio spurs,,
Ryan Smith,0.0,1974,utah jazz,,
Ted Leonsis,0.0,1961,washington wizards,,
