name,age,team,file
Jordan Crawford,35,Sichuan Blue Whales,Jordan_Crawford.txt
Lavoy Allen,35,Philadelphia 76ers,Lavoy_Allen.txt
Anthony Edwards,23,Minnesota Timberwolves,Anthony_Edwards.txt
Michael Carter-Williams,32,Capitanes de Ciudad de México,Michael_Carter-Williams.txt
Kevin Wayne Durant,36,Phoenix Suns,Kevin_Durant.txt
Jabari Walker,21,Portland Trail Blazers,Jabari_Walker.txt
Antonius Cleveland,30,Lokomotiv Kuban,Antonius_Cleveland.txt
Devontae Calvin Cacok,27,Virtus Bologna,Devontae_Cacok.txt
Ronald Moore,36,Debreceni EAC,Ronald_Moore.txt
Brandon Goodwin,29,Gigantes de Carolina,Brandon_Goodwin.txt
Anthony Marshon Davis Jr.,31,Los Angeles Lakers,Anthony_Davis.txt
Hamidou Diallo,26,Capital City Go-Go,Hamidou_Diallo.txt
Lamar Stevens,27,Memphis Grizzlies,Lamar_Stevens.txt
Jahlil Okafor,29,Capitanes de Arecibo,Jahlil_Okafor.txt
Donta Hall,27,Saski Baskonia,Donta_Hall.txt
Carrick Felix,34,NAN,Carrick_Felix.txt
D. J. White,38,Oklahoma City Blue,D_J_White.txt
