name,position,team_name,founded_year
aaron williams,Frontcourt,Los Angeles Clippers,1970
andrew christian wiggins,,Golden State Warriors,1946
caleb martin,Frontcourt,Philadelphia 76ers,1946
d'angelo russell,Backcourt,Los Angeles Lakers,1946
devin armani booker,Backcourt,Phoenix Suns,1968
drew edward gordon,Frontcourt,Philadelphia 76ers,1946
duncan mcbryde robinson,,Miami Heat,1988
"edrice femi ""bam"" adebayo",,Miami Heat,1988
jaylen marselles brown,Backcourt,Boston Celtics,1946
jayson christopher tatum,,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
joel hans embiid,,Philadelphia 76ers,1946
kevon grant looney,Frontcourt,Golden State Warriors,1946
kyrie andrew irving,,Dallas Mavericks,1980
lebron raymone james,,Los Angeles Lakers,1946
lonzo anderson ball,Backcourt,Chicago Bulls,1966
magic johnson,Backcourt,Los Angeles Lakers,1946
