name,position,team_name,founded_year,id,player.id,team.id
aaron williams,power forward,Utah Jazz,1974,,,
andrew christian wiggins,Forward,Golden State Warriors,1946,,,
caleb martin,small forward,Miami Heat,1988,,,
d'angelo russell,point guard,Los Angeles Lakers,1946,,,
devin armani booker,Backcourt,Phoenix Suns,1968,,,
drew edward gordon,power forward,Dallas Mavericks,1980,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami Heat,1988,,,
jaylen marselles brown,Shooting Guard and Small Forward,Boston Celtics,1946,,,
jayson christopher tatum,Frontcourt,Boston Celtics,1946,,,
jimmy butler,,Miami Heat,1988,,,
joel hans embiid,Frontcourt,Philadelphia 76ers,1946,,,
kevon grant looney,Backcourt,Golden State Warriors,1946,,,
kyrie andrew irving,Backcourt,Dallas Mavericks,1980,,,
lebron raymone james,Frontcourt,Los Angeles Lakers,1946,,,
lonzo anderson ball,point guard,New Orleans Pelicans,1974,,,
magic johnson,Backcourt,Los Angeles Lakers,1946,,,
