name,draft_pick,college,team_name,id,player.id,team.id
andrew christian wiggins,1,Kansas Jayhawks,Golden State Warriors,,,
anthony edwards,1,University of Georgia,Minnesota Timberwolves,,,
anthony marshon davis,1,Kentucky Wildcats,Los Angeles Lakers,,,
austin tyler reaves,42,Wichita State Shockers,Los Angeles Lakers,,,
"chavano rainer ""buddy"" hield",6,Oklahoma Sooners,Golden State Warriors,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2,Ohio State Buckeyes,Los Angeles Lakers,,,
darnell hillman,8,San Jose State University,Indiana Pacers,,,
derrick chievous,16,University of Missouri,Houston Rockets,,,
devin armani booker,13,University of Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State Spartans,Golden State Warriors,,,
duncan mcbryde robinson,undrafted,Williams College Ephs,Miami Heat,,,
"edrice femi ""bam"" adebayo",14,University of Kentucky,Miami Heat,,,
garfield smith,10,,Boston Celtics,,,
giannis sina ugo antetokounmpo,15,Filathlitikos,Milwaukee Bucks,,,
greg fillmore gregory paul fillmore,8-1,Cheyney University of Pennsylvania,New York Knicks,,,
harrison bryce jordan barnes,7,North Carolina Tar Heels,San Antonio Spurs,,,
jabari dominic walker,57,Colorado Buffaloes,Portland Trail Blazers,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,Dallas Mavericks,,,
jay vincent jay fletcher vincent,24,Michigan State Spartans,Dallas Mavericks,,,
jaylen marselles brown,3,California Golden Bears,Boston Celtics,,,
jayson christopher tatum,3,Duke University,Boston Celtics,,,
jimmy butler,30,Tyler Junior College,Miami Heat,,,
john harding lucas,1,"University of Maryland, College Park",Houston Rockets,,,
jonathan malangu kuminga,7,UNLV,Golden State Warriors,,,
jrue randall holiday,17,UCLA Bruins,Boston Celtics,,,
"kenneth ""apple"" green",11,Pan American University,New York Knicks,,,
kermit washington,5,American University,Los Angeles Lakers,,,
kevin wayne durant,2,University of Texas,Phoenix Suns,,,
kevin wesley love,5,UCLA Bruins,Miami Heat,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kobe bean bryant,13,,Los Angeles Lakers,,,
kurt thomas,1995,Texas Christian University,Miami Heat,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyrie andrew irving,1,Duke University,Cleveland Cavaliers,,,
lamar brandon stevens,undrafted,Penn State Nittany Lions,Cleveland Cavaliers,,,
lebron raymone james,1,St. Vincent–St. Mary High School,Los Angeles Lakers,,,
lonzo anderson ball,2,UCLA Bruins,Chicago Bulls,,,
mark price,25,Georgia Tech,Cleveland Cavaliers,,,
"ogugua ""og"" anunoby",23,Indiana University,New York Knicks,,,
rik smits,2,Marist College,Indiana Pacers,,,
shaquille rashaun o'neal,1,LSU Tigers,Orlando Magic,,,
trayce jackson-davis,57,Indiana,Golden State Warriors,,,
trent tucker,6,University of Minnesota,New York Knicks,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,2,University of Florida,Houston Rockets,,,
victor wembanyama,1,Metropolitans 92,San Antonio Spurs,,,
wardell stephen curry,7,Davidson College,Golden State Warriors,,,
zach collins,10,Gonzaga Bulldogs,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
