team_name,location,founded_year
Atlanta Hawks,Atlanta,1946
Boston Celtics,Boston,1946
Brooklyn Nets,Brooklyn,1967
Charlotte Hornets,Charlotte,1988
Chicago Bulls,Chicago,1966
Cleveland Cavaliers,Cleveland,1970
Dallas Mavericks,Dallas,1980
Denver Nuggets,Denver,1967
Detroit Pistons,Detroit,1937
Golden State Warriors,San Francisco,1946
Houston Rockets,Houston,1967
Indiana Pacers,Indianapolis,1967
Los Angeles Clippers,Los Angeles,1970
Los Angeles Lakers,Los Angeles,1946
Memphis Grizzlies,Memphis,1995
Miami Heat,Miami,1988
Milwaukee Bucks,Milwaukee,1968
Minnesota Timberwolves,Minneapolis,1989
New Orleans Pelicans,New Orleans,2002
New York Knicks,New York City,1946
Oklahoma City Thunder,Oklahoma City,1967
Orlando Magic,Orlando,1989
Philadelphia 76ers,Philadelphia,1946
Phoenix Suns,Phoenix,1968
Portland Trail Blazers,Portland,1970
Sacramento Kings,Sacramento,1923
San Antonio Spurs,San Antonio,1967
Toronto Raptors,Toronto,1995
Utah Jazz,Salt Lake City,1974
Washington Wizards,Washington,1961
