name,nationality,age,team_name,location,id,player.id,team.id
aaron williams,American,51.0,Utah Jazz,Salt Lake City,,,
andrew christian wiggins,Canadian,28.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
austin tyler reaves,American,24.0,Los Angeles Lakers,Los Angeles,,,
caleb martin,American,28.0,Miami Heat,Miami,,,
"chavano rainer ""buddy"" hield",Bahamian,24.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,27.0,Los Angeles Lakers,Los Angeles,,,
darnell hillman,American,,Golden State Warriors,San Francisco,,,
derrick chievous,American,,Houston Rockets,Houston,,,
devin armani booker,American,26.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,22.0,Golden State Warriors,San Francisco,,,
drew edward gordon,,33.0,Dallas Mavericks,Dallas,,,
duncan mcbryde robinson,American,29.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American,26.0,Miami Heat,Miami,,,
erick strickland,American,,Dallas Mavericks,Dallas,,,
garfield smith,American,,Boston Celtics,Boston,,,
harrison bryce jordan barnes,American,,San Antonio Spurs,San Antonio,,,
jabari dominic walker,American,21.0,Portland Trail Blazers,"Portland, Oregon",,,
jaime jaquez,Mexican-American,21.0,Miami Heat,Miami,,,
jay vincent jay fletcher vincent,American,,Dallas Mavericks,Dallas,,,
jaylen marselles brown,African-American,28.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,27.0,Boston Celtics,Boston,,,
jimmy butler,American,34.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,30.0,Philadelphia 76ers,"Camden, New Jersey",,,
john harding lucas,American,,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,21.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,,Boston Celtics,Boston,,,
kermit washington,American,,Los Angeles Lakers,Los Angeles,,,
kevin wesley love,American,25.0,Miami Heat,Miami,,,
kevon grant looney,American,27.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,,Los Angeles Lakers,Los Angeles,,,
kurt thomas,American,,Chicago Bulls,Chicago,,,
kyle forman anderson,American-Chinese,,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,,Charlotte Hornets,Charlotte,,,
kyrie andrew irving,American,32.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,25.0,Cleveland Cavaliers,Independence,,,
lebron raymone james,American,39.0,Los Angeles Lakers,Los Angeles,,,
lonzo anderson ball,American,26.0,New Orleans Pelicans,New Orleans,,,
magic johnson,American,42.0,Los Angeles Lakers,Los Angeles,,,
mark price,American,,Cleveland Cavaliers,Independence,,,
max berning fiedler,American,23.0,Philadelphia 76ers,"Camden, New Jersey",,,
"monti davis damon william ""monti"" davis",American,,Philadelphia 76ers,"Camden, New Jersey",,,
paul clifton anthony george,American,23.0,Philadelphia 76ers,"Camden, New Jersey",,,
rik smits,Dutch,,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Orlando Magic,Orlando,,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
trent tucker,American,,Chicago Bulls,Chicago,,,
tyler christopher herro,American,23.0,Miami Heat,Miami,,,
vernon maxwell,American,,Houston Rockets,Houston,,,
victor wembanyama,French,19.0,San Antonio Spurs,San Antonio,,,
zach collins,American,25.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,22.0,Chicago Bulls,Chicago,,,
