team_name,location,city_name,state_name
charlotte hornets,Charlotte,Charlotte,North Carolina
chicago bulls,Chicago,Chicago,Illinois
cleveland cavaliers,Cleveland,Cleveland,Ohio
dallas mavericks,Dallas,Dallas,Texas
denver nuggets,Denver,Denver,Colorado
detroit pistons,Detroit,Detroit,Michigan
houston rockets,Houston,Houston,Texas
los angeles clippers,Los Angeles,Los Angeles,California
los angeles lakers,Los Angeles,Los Angeles,California
memphis grizzlies,Memphis,Memphis,Tennessee
miami heat,Miami,Miami,Florida
milwaukee bucks,Milwaukee,Milwaukee,Wisconsin
new orleans pelicans,New Orleans,New Orleans,Louisiana
new york knicks,New York City,New York City,New York
oklahoma city thunder,Oklahoma City,Oklahoma City,Oklahoma
orlando magic,Orlando,Orlando,Florida
philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
phoenix suns,Phoenix,Phoenix,Arizona
portland trail blazers,Portland,Portland,Oregon
sacramento kings,Sacramento,Sacramento,California
san antonio spurs,San Antonio,San Antonio,Texas
toronto raptors,Toronto,Toronto,Ontario
