name,college,draft_pick,team
Joel Embiid,University of Kansas,3,Philadelphia 76ers
,,,
Victor Wembanyama,,1,San Antonio Spurs
Jrue Holiday,UCLA Bruins,17,Boston Celtics
Tyler Herro,Kentucky Wildcats,13,Miami Heat
,,,
Cade Cunningham,Oklahoma State,1,Detroit Pistons
Zach LaVine,UCLA Bruins,13,Chicago Bulls
Jaden Ivey,Purdue Boilermakers,5,Detroit Pistons
Brandan Wright,University of North Carolina at Chapel Hill,8,
Jonathan Kuminga,,7,Golden State Warriors
Ausar Thompson,,5,Detroit Pistons
,,,
Bam Adebayo,Kentucky Wildcats,14,Miami Heat
Carrick Felix,Arizona State,33,
Ken Green,Pan American University,11,New York Knicks
Jay Vincent,Michigan State University,24,
Anthony Avent,Seton Hall University,15,
Jarrett Jack,Georgia Tech,22,Detroit Pistons
Ed Dahler,Duquesne,14,Philadelphia Warriors
Nikola Radičević,,57,Cedevita Olimpija
Daniel Edward Anderson,,2,Portland Trail Blazers
Trent Tucker,University of Minnesota,6,New York Knicks
Dwayne Kenneth Schintzius,University of Florida,24,San Antonio Spurs
Guy William Rodgers,Temple University,,Milwaukee Bucks
Tim Duncan,Wake Forest Demon Deacons,1,San Antonio Spurs
Walter Berry,St. John's University,14,
Tony Delk,Kentucky,16,
Gene Dyker,,1,Milwaukee Hawks
Rik Smits,Marist College,2,Indiana Pacers
Anthony Edwards,Georgia Bulldogs,1,Minnesota Timberwolves
James J. Brasco,New York University,,Syracuse Nationals
Darnell Hillman,San Jose State University,8,Indiana Pacers
Mark Price,Georgia Tech,25,Cleveland Cavaliers
Fred Boyd,Oregon State University,5,Philadelphia 76ers
Shawn Christopher Respert,Michigan State,8,Los Angeles Lakers
Elmer Behnke,Bradley University,35,Milwaukee Hawks
Gregory Clinton Foster,UCLA,35,Indiana Pacers
Joseph Forte,University of North Carolina at Chapel Hill,21,
Jabari Walker,Colorado Buffaloes,57,Portland Trail Blazers
Jordan Crawford,Indiana University,27,Sichuan Blue Whales
Donyell Marshall,University of Connecticut,4,Greensboro Swarm
Garfield Smith,,10,Boston Celtics
Michael Carter-Williams,Syracuse Orange,11,Capitanes de Ciudad de México
Monti Davis,Tennessee State University,21,Philadelphia 76ers
