name,position,college,draft_pick
Antonius Cleveland,,Southeast Missouri State University,
,,,
Buddy Hield,Backcourt,Oklahoma Sooners,6
D'Angelo Russell,Point guard,Ohio State Buckeyes,2
"Joel Embiid
position",,,
Paul George,Frontcourt,Fresno State,10
"Kyrie Irving
position",,,
,,,
Caleb Martin,Frontcourt,NC State University,
Andrew Wiggins,Backcourt,Kansas Jayhawks,1
Max Fiedler,Frontcourt,Rice University,
OG Anunoby,Frontcourt,Indiana University,23
William Derek Grimm,Frontcourt,University of Missouri,
Jaylen Brown,Backcourt,"University of California, Berkeley",3
Victor Wembanyama,Frontcourt,,1
Jrue Holiday,Backcourt,UCLA Bruins,17
Austin Reaves,Frontcourt,"Wichita State, Oklahoma",
Kevin Love,Frontcourt,UCLA Bruins,5
"Giannis Antetokounmpo
position",,,
,,,
Al Horford,Frontcourt,University of Florida,3
Tyler Herro,Backcourt,University of Kentucky,13
Duncan Robinson,Backcourt,Williams College,
,,,
Kyle Anderson,Backcourt,UCLA Bruins,30
Cade Cunningham,Backcourt,Oklahoma State,1
,,,
Jimmy Butler,Backcourt,Marquette University,30
Kevon Looney,Frontcourt,UCLA Bruins,30
Zach LaVine,Backcourt,UCLA Bruins,13
Jaden Ivey,Frontcourt,Purdue Boilermakers,5
Kyle Lowry,Backcourt,Villanova Wildcats,24
"Michael Jordan
position",,,
,,,
Brandan Wright,Frontcourt,University of North Carolina at Chapel Hill,8
Draymond Green,Frontcourt,Michigan State,
Zach Collins,Frontcourt,Gonzaga,10
Jonathan Kuminga,Frontcourt,,7
Lonzo Ball,Point guard,UCLA Bruins,2
Jaime Jaquez Jr.,Frontcourt,UCLA Bruins,18
Ausar Thompson,Frontcourt,,5
Jalen Brunson,Backcourt,Villanova University,33
,,,
,,,
"Chris Paul
position",,,
Askia Jones,Backcourt,Kansas State University,
Harrison Barnes,Backcourt,North Carolina Tar Heels,7
Bam Adebayo,Frontcourt,Kentucky Wildcats,14
Carrick Felix,Frontcourt,Arizona State University,33
Mychel Thompson,Backcourt,Pepperdine University,
Marvin Roberts,,Utah State University,39
Ken Green,Frontcourt,Pan American University,11
,,,
Jay Vincent,Frontcourt,Michigan State University,24
Don Anielak,,Southwest Missouri State University,26
,Frontcourt,University of North Dakota,36
Anthony Avent,Frontcourt,Seton Hall University,15
Drew Gordon,Frontcourt,UCLA Bruins,
Jarrett Jack,Backcourt,Georgia Tech,22
Rick Hughes,Backcourt,Thomas More College,
Lavoy Allen,Frontcourt,Temple University,50
Ed Dahler,Frontcourt,Duquesne,14
"Earvin ""Magic"" Johnson Jr.
position",,,
,,,
Nikola Radičević,Backcourt,,57
Isiah Thomas,Backcourt,Indiana University,2
Daniel Edward Anderson,Frontcourt,,2
Jahlil Okafor,Frontcourt,Duke University,3
Trent Tucker,Shooting guard,University of Minnesota,6
Dwayne Schintzius,Frontcourt,University of Florida,24
Miles Simon,Backcourt,University of Arizona,
Guy William Rodgers,Backcourt,Temple University,
Vernon Maxwell,Shooting guard,University of Florida,32
Tim Duncan,Frontcourt,Wake Forest Demon Deacons,1
Walter Berry,Frontcourt,St. John's University,14
,,University of Notre Dame,
James Patrick Walsh,Frontcourt,Stanford University,
Tony Delk,,University of Kentucky,16
Calvin Ramsey,Frontcourt,NYU,13
Gene Dyker,Frontcourt,,1
Derrick Chievous,Frontcourt,University of Missouri,16
Rik Smits,Frontcourt,Marist College,2
Anthony Edwards,Shooting guard,Georgia,1
Harry Gallatin,Frontcourt,Northeast Missouri State Teachers' College (now Truman State University),
Jim Brasco,,New York University,
Darnell Hillman,Frontcourt,San Jose State University,8
Mark Price,Backcourt,Georgia Tech,25
,,,
Nick Calathes,Backcourt,University of Florida,
Rod Derline,Backcourt,Seattle University,169
Kurt Thomas,Frontcourt,Texas Christian University,
"Kevin Durant
position",,,
Aaron Williams,Frontcourt,Xavier University,
,,"Lansing Community College, Central Michigan University",
Fred Boyd,,Oregon State University,5
William Bedford,Frontcourt,Memphis State University,6
Steve Smith,Backcourt,Michigan State,5
David Michineau,,,
Shawn Christopher Respert,Backcourt,Michigan State,8
Rod Strickland,Backcourt,DePaul University,
Elmer Behnke,Frontcourt,Bradley University,35
Lamar Stevens,Frontcourt,Penn State Nittany Lions,
Ronald Moore,Backcourt,Siena,
Erazem Lorbek,Frontcourt,Michigan State University,
"Marvin ""Mickey"" Rottner",Backcourt,Loyola University,
Hamidou Diallo,Frontcourt,University of Kentucky,45
D. J. White,power forward,Indiana Hoosiers,29
Steve Kerr,Backcourt,University of Arizona,50
Donta Hall,Frontcourt,Alabama Crimson Tide,
Gregory Clinton Foster,,UCLA,35
Bill Hewitt,Frontcourt,University of Southern California,
,,University of North Carolina at Chapel Hill,21
Dino Rađa,Frontcourt,,40
Mark Radford,,Oregon State University,53
Kostas Papanikolaou,Frontcourt,,48
Garry Witts,,,
Jabari Walker,Frontcourt,Colorado Buffaloes,57
Devontae Cacok,Frontcourt,UNC Wilmington Seahawks,
Brandon Goodwin,Backcourt,UCF Knights,
Erick Strickland,Frontcourt,University of Nebraska,
Dick Rosenthal,Frontcourt,Notre Dame University,
Jamal Crawford,Backcourt,University of Michigan,8
Jordan Crawford,Backcourt,Indiana University,27
Tom Copa,Frontcourt,Marquette University,44
Kermit Washington,Big defensive forward,American University,5
Donyell Marshall,Frontcourt,University of Connecticut,4
,,University of Minnesota,
Greg Fillmore,Frontcourt,Cheyney University of Pennsylvania,
John Lucas II,Backcourt,"University of Maryland, College Park",1
Dick Surhoff,,Long Island and John Marshall College,1
Dave Lattin,Frontcourt,Texas Western College,10
Garfield Smith,Frontcourt,,10
,Backcourt,Loyola University New Orleans,
Michael Carter-Williams,Backcourt,Syracuse Orange,11
Dennis Schröder,Backcourt,,17
Jack Parr,Frontcourt,Kansas State University,
Monti Davis,Frontcourt,Tennessee State University,21
Eric Johnson,,,
,,,
Trayce Jackson-Davis,Frontcourt,Indiana Hoosiers,57
Andre Drummond,Center,University of Connecticut,9
