name,college,team_name,gdp,city.id,id,player.id,team.id
anthony edwards,Georgia,Minnesota Timberwolves,,,,,
joel hans embiid,Kansas Jayhawks,Philadelphia 76ers,,,,,
jrue randall holiday,UCLA,Boston Celtics,84500.0,,,,
kevin wesley love,UCLA,Cleveland Cavaliers,,,,,
kyle terrell lowry,Villanova,Toronto Raptors,300000000000.0,,,,
kyrie andrew irving,,,,,,,
lavoy allen,Temple University,Philadelphia 76ers,,,,,
mark price,Georgia Tech,Cleveland Cavaliers,,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,,,,,
shaquille rashaun o'neal,LSU,Orlando Magic,,,,,
