name,college,team_name,gdp
anthony edwards,Georgia,Minnesota Timberwolves,
joel hans embiid,University of Kansas,Philadelphia 76ers,518.5
jrue randall holiday,UCLA,Boston Celtics,
kevin wesley love,UCLA,Miami Heat,344.9
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lavoy allen,Temple University,Philadelphia 76ers,518.5
mark price,Georgia Tech,Orlando Magic,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
shaquille rashaun o'neal,Louisiana State University (LSU),Boston Celtics,
