court_name,hearing_year,legal_basis,file
 Federal Court,2008,Bankruptcy Act 1966 and Corporations Act 2001,09_372.txt
Federal Court of Australia,2008,s 87 of the Native Title Act 1993 (Cth),09_789.txt
NAN,2008, Australian Conservation Foundation v Forestry Commission (1988) 81 ALR 166,09_57.txt
Federal Magistrates Court,2008,NAN,09_217.txt
 Federal Court of Australia,2008,Trade Marks Act,08_1542.txt
 Federal Court,2008,s 43(1) of the Bankruptcy Act 1966 (Cth),09_570.txt
 Federal Court or Rares J,2008, Hoy Mobile Pty Limited v Allphones Retail Pty Ltd (No 2) (2008) ATPR 42-240,09_980.txt
 Federal Court,2008,Trade Practices Act 1974 (Cth),09_87.txt
Federal Magistrates Court,2008,Bankruptcy Act 1966 (Cth),08_1408.txt
NAN,2008,s 45 of the Competition Code of New South Wales,09_1255.txt
 Federal Court of Australia,2008,Disability Discrimination Act 1992 (Cth),09_1122.txt
NAN,2008,"s.23AG of ITAA36, s.136(1) of the FBT Act, s.12-1 of Schedule 1 Part 2-5 of the TAA, s 14ZZK or s 14ZZO of the TAA",09_7.txt
 Federal Court,2008,"Order 4, r 6(1A) of the Federal Court Rules 1979 (Cth)",08_63.txt
 Federal Court of Australia,2008,s 564(1)(b) and s 570 Telecommunications Act 1997 (Cth); s 80 Trade Practices Act 1974 (Cth); s 21 Federal Court of Australia Act 1976 (Cth); Telecommunications (Consumer Protection and Service Standards) Act 1999 (Cth),08_1530.txt
 Hon Mr Trevor Morling QC,2008, 2008 FCA 719,09_516.txt
NAN,2008,Pt 5C.1 of the Corporations Act 2001 (Cth),08_1860.txt
 Federal Court of Australia,2008,"s 39B Judiciary Act 1903, s 74B Environmental Protection and Biodiversity Conservation Act 1999",08_1870.txt
 Federal Court,2008,"O 62, r 4(2)(c) and (d) of the Federal Court Rules",08_1737.txt
NAN,2008,s 52 of the Trade Practices Act 1974 (Cth),06_192.txt
 Federal Court,2008,"Order 9 rule 2(1) of the Federal Court Rules, Section 87B(1) of the Trade Practices Act 1974, Section 21 of the Federal Court of Australia Act 1976 (Cth), Order 4 rule 8 of the Federal Court Rules, Order 35A of the Federal Court Rules",08_1735.txt
NAN,2008,s 1324(1) of the Corporations Act 2001 (Cth),09_26.txt
 Federal Magistrate,2008,"Convention Relating to the Status of Refugees 1951, Protocol Relating to the Status of Refugees 1967",09_841.txt
Federal Magistrates Court,2008,Jackamarra,08_1897.txt
NAN,2008,Administrative Decisions (Judicial Review) Act 1977 (Cth),08_1879.txt
Federal Court,2008,Migration Act 1958 (Cth),09_902.txt
 Federal Court of Australia,2008,"Disability Discrimination Act 1992 (Cth), Racial Discrimination Act 1975 (Cth), Human Rights and Equal Opportunity Commission Act 1986 (Cth), tort of negligence",08_907.txt
 Federal Court of Australia,2008,"O 35, r 7(2)(a) of the Federal Court Rules",09_1477.txt
Federal Court of Australia,2008,"Corporations Act 2001 (Cth), Trade Practices Act 1974 (Cth), Australian Securities and Investment Commission Act 2001 (Cth)",08_1112.txt
 Federal Court of Australia,2008,Spam Act 2003 (Cth),08_130.txt
NAN,2008, Bankruptcy Act 1966 (Cth),08_1016.txt
 Federal Magistrates Court,2008,Bankruptcy Act 1966 (Cth),08_1765.txt
 Supreme Court of New South Wales,2008, Corporations Act 2001 (Cth),09_632.txt
NAN,2008,O 46 r 6,08_783.txt
Federal Magistrates Court,2008, NAN,09_1398.txt
