team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Boston Celtics,Boston,Boston,Massachusetts
Charlotte Hornets,Charlotte,Charlotte,North Carolina
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
Detroit Pistons,Detroit,Detroit,Michigan
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Clippers,Los Angeles,Los Angeles,California
Los Angeles Lakers,Los Angeles,Los Angeles,California
Memphis Grizzlies,Memphis,Memphis,Tennessee
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
New York Knicks,New York City,New York City,New York
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Orlando Magic,Orlando,Orlando,Florida
Philadelphia 76ers,Philadelphia,Philadelphia,Pennsylvania
Phoenix Suns,Phoenix,Phoenix,Arizona
Portland Trail Blazers,Portland,Portland,Oregon
Sacramento Kings,Sacramento,Sacramento,California
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,Ontario
Utah Jazz,Salt Lake City,Salt Lake City,Utah
