name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,C,Philadelphia 76ers,1946.0,,,
andrew christian wiggins,forward,Golden State Warriors,1946.0,,,
anthony marshon davis,power forward and center,New Orleans Pelicans,2002.0,,,
austin tyler reaves,player,Los Angeles Lakers,1946.0,,,
bill hewitt,forward,Los Angeles Lakers,1946.0,,,
caleb martin,small forward,Philadelphia 76ers,1946.0,,,
"chavano rainer ""buddy"" hield",Guard,Golden State Warriors,1946.0,,,
christopher emmanuel paul,point guard,Phoenix Suns,1968.0,,,
d'angelo russell,point guard,Los Angeles Lakers,1946.0,,,
darnell hillman,Forward,Indiana Pacers,1967.0,,,
derek grimm,forward,Sacramento Kings,1923.0,,,
draymond jamal green,power forward,Golden State Warriors,1946.0,,,
drew edward gordon,power forward,Philadelphia 76ers,1946.0,,,
duncan mcbryde robinson,point guard,Miami Heat,1988.0,,,
"edrice femi ""bam"" adebayo",Power Forward/Center,Miami Heat,1988.0,,,
"harry junior ""the horse"" gallatin",center,New York Knicks,1946.0,,,
isiah thomas,player,Detroit Pistons,1937.0,,,
jalen marquis brunson,Point Guard,New York Knicks,1946.0,,,
jay vincent jay fletcher vincent,forward,Dallas Mavericks,1980.0,,,
jaylen marselles brown,shooting guard,Boston Celtics,1946.0,,,
jimmy butler,Shooting Guard/Small Forward,Miami Heat,1988.0,,,
john harding lucas,Player,Houston Rockets,1967.0,,,
jrue randall holiday,point guard,Boston Celtics,1946.0,,,
"kenneth ""apple"" green",basketball,New York Knicks,1946.0,,,
kermit washington,forward,Los Angeles Lakers,1946.0,,,
kevin wayne durant,basketball player,Phoenix Suns,1968.0,,,
kevin wesley love,power forward/center,Miami Heat,1988.0,,,
kevon grant looney,center,Golden State Warriors,1946.0,,,
kobe bean bryant,shooting guard,Los Angeles Lakers,1946.0,,,
kurt thomas,power forward-center,New York Knicks,1946.0,,,
kyle terrell lowry,point guard,Toronto Raptors,1995.0,,,
kyrie andrew irving,PG,Brooklyn Nets,1967.0,,,
lavoy allen,Center,Philadelphia 76ers,1946.0,,,
lebron raymone james,forward,Los Angeles Lakers,1946.0,,,
lonzo anderson ball,point guard,Chicago Bulls,1966.0,,,
magic johnson,Point Guard,Los Angeles Lakers,1946.0,,,
"ogugua ""og"" anunoby",forward/guard,New York Knicks,1946.0,,,
philip douglas jackson,Power Forward,New York Knicks,1946.0,,,
rik smits,Center,Indiana Pacers,1967.0,,,
shaquille rashaun o'neal,center,Los Angeles Lakers,1946.0,,,
steve kerr,Guard,Chicago Bulls,1966.0,,,
tim duncan,power forward,San Antonio Spurs,1967.0,,,
trent tucker,shooting guard,New York Knicks,1946.0,,,
vernon maxwell,shooting guard,Houston Rockets,1967.0,,,
zach collins,Center,San Antonio Spurs,1967.0,,,
zachary thomas lavine,point guard,Chicago Bulls,1966.0,,,
