name,position,team_name,founded_year
andre jamal drummond,Frontcourt,Philadelphia 76ers,1946
andrew christian wiggins,,Golden State Warriors,1946
anthony marshon davis,Frontcourt,Los Angeles Lakers,1946
austin tyler reaves,,Los Angeles Lakers,1946
bill hewitt,Frontcourt,Los Angeles Lakers,1946
caleb martin,Frontcourt,Philadelphia 76ers,1946
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
d'angelo russell,Backcourt,Los Angeles Lakers,1946
darnell hillman,Frontcourt,Golden State Warriors,1946
derek grimm,Frontcourt,Sacramento Kings,1923
draymond jamal green,Frontcourt,Golden State Warriors,1946
drew edward gordon,Frontcourt,Philadelphia 76ers,1946
duncan mcbryde robinson,,Miami Heat,1988
"edrice femi ""bam"" adebayo",,Miami Heat,1988
"harry junior ""the horse"" gallatin",Frontcourt,Detroit Pistons,1937
isiah thomas,Backcourt,Detroit Pistons,1937
jalen marquis brunson,,New York Knicks,1946
jay vincent jay fletcher vincent,Frontcourt,Los Angeles Lakers,1946
jaylen marselles brown,Backcourt,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
john harding lucas,Frontcourt,Houston Rockets,1967
jrue randall holiday,,Boston Celtics,1946
"kenneth ""apple"" green",,New York Knicks,1946
kermit washington,Frontcourt,Golden State Warriors,1946
kevin wayne durant,Frontcourt,Phoenix Suns,1968
kevin wesley love,,Miami Heat,1988
kevon grant looney,Frontcourt,Golden State Warriors,1946
kobe bean bryant,Backcourt,Los Angeles Lakers,1946
kurt thomas,Frontcourt,New York Knicks,1946
kyle terrell lowry,Backcourt,Philadelphia 76ers,1946
kyrie andrew irving,,Dallas Mavericks,1980
lavoy allen,,Philadelphia 76ers,1946
lebron raymone james,,Los Angeles Lakers,1946
lonzo anderson ball,Backcourt,Chicago Bulls,1966
magic johnson,Backcourt,Los Angeles Lakers,1946
"ogugua ""og"" anunoby",,New York Knicks,1946
philip douglas jackson,Frontcourt,Los Angeles Lakers,1946
rik smits,Frontcourt,Indiana Pacers,1967
shaquille rashaun o'neal,Frontcourt,Boston Celtics,1946
steve kerr,Frontcourt,Golden State Warriors,1946
tim duncan,Frontcourt,San Antonio Spurs,1967
trent tucker,Backcourt,Chicago Bulls,1966
vernon maxwell,Backcourt,Dallas Mavericks,1980
zach collins,,San Antonio Spurs,1967
zachary thomas lavine,,Chicago Bulls,1966
