name,position,city_name,population,city.id,id,player.id,team.id
andrew christian wiggins,Frontcourt,San Francisco,873965.0,,,,
anthony edwards,Shooting Guard,Minneapolis,429954.0,,,,
devin armani booker,Backcourt,Phoenix,1608139.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,forward and sometimes described as a point forward,Milwaukee,577222.0,,,,
harrison bryce jordan barnes,Backcourt,San Antonio,2608598.0,,,,
jabari dominic walker,,Portland,652503.0,,,,
jaime jaquez,Forward,Miami,442241.0,,,,
jalen marquis brunson,Point Guard,New York City,8258035.0,,,,
jaylen marselles brown,"Shooting Guard, Small Forward",Boston,691531.0,,,,
jayson christopher tatum,Frontcourt,Boston,691531.0,,,,
jonathan malangu kuminga,Frontcourt,San Francisco,873965.0,,,,
kyrie andrew irving,Backcourt,Dallas,1299544.0,,,,
lamar brandon stevens,Frontcourt,Boston,691531.0,,,,
lonzo anderson ball,point guard,Chicago,2746388.0,,,,
"ogugua ""og"" anunoby",Frontcourt,New York City,8258035.0,,,,
trayce jackson-davis,Frontcourt,San Francisco,873965.0,,,,
tyler christopher herro,Backcourt,Miami,442241.0,,,,
victor wembanyama,Frontcourt,San Antonio,2608598.0,,,,
zachary thomas lavine,Backcourt,Chicago,2746388.0,,,,
