name,team_name,city_name,state_name,city.id,id,player.id,team.id
andrew christian wiggins,Golden State Warriors,San Francisco,California,,,,
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota,,,,
anthony marshon davis,Los Angeles Lakers,Los Angeles,California,,,,
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
d'angelo russell,Los Angeles Lakers,Los Angeles,California,,,,
darnell hillman,Indiana Pacers,Indianapolis,Indiana,,,,
derrick chievous,Houston Rockets,Houston,Texas,,,,
draymond jamal green,Golden State Warriors,San Francisco,California,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
erick strickland,Dallas Mavericks,Dallas,Texas,,,,
garfield smith,Boston Celtics,Boston,Massachusetts,,,,
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jay vincent jay fletcher vincent,Dallas Mavericks,Dallas,Texas,,,,
jaylen marselles brown,Boston Celtics,Boston,Massachusetts,,,,
jayson christopher tatum,Boston Celtics,Boston,Massachusetts,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
john harding lucas,Houston Rockets,Houston,Texas,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,California,,,,
jrue randall holiday,Boston Celtics,Boston,Massachusetts,,,,
kermit washington,Los Angeles Lakers,Los Angeles,California,,,,
kevin wesley love,Cleveland Cavaliers,Cleveland,Ohio,,,,
kevon grant looney,Golden State Warriors,San Francisco,California,,,,
kobe bean bryant,Los Angeles Lakers,Los Angeles,California,,,,
kurt thomas,Miami Heat,Miami,Florida,,,,
kyle forman anderson,Golden State Warriors,San Francisco,California,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,Texas,,,,
lamar brandon stevens,Boston Celtics,Boston,Massachusetts,,,,
lebron raymone james,Los Angeles Lakers,Los Angeles,California,,,,
lonzo anderson ball,Chicago Bulls,Chicago,Illinois,,,,
mark price,Cleveland Cavaliers,Cleveland,Ohio,,,,
rik smits,Indiana Pacers,Indianapolis,Indiana,,,,
shaquille rashaun o'neal,Los Angeles Lakers,Los Angeles,California,,,,
trayce jackson-davis,Golden State Warriors,San Francisco,California,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
vernon maxwell,Houston Rockets,Houston,Texas,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
wardell stephen curry,Golden State Warriors,San Francisco,California,,,,
zach collins,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
