id,description.style,description.theme,description.object,description.color,description.tone,description.composition,description.image_genre
Wikiart_0,Abstract Expressionism,,Undefined Forms,Earth Tones,Neutral,Asymmetrical,Abstract
Wikiart_1,Surrealism,,Geometric Forms,White,Neutral,Asymmetrical,Sculpture
Wikiart_2,Naïve Art (Primitivism),,"Human Figures, Animals",Earth Tones,Warm,"Dynamic, Crowded",Figurative
Wikiart_3,Art Informel,,,Red,Warm,Asymmetrical,
Wikiart_4,concretism,,geometric shapes,red and white,neutral,asymmetrical with angular shapes,geometric
Wikiart_5,Abstract Expressionism,,Geometric Shapes,Blue,Dark,Asymmetrical,
Wikiart_6,Surrealism,,"Human-Like Figure, Abstract Shapes",Gray,Neutral,Centralized Composition,Figurative
Wikiart_7,Feminist Art,,"Reclining Figure, Abstract Shapes",Multicolored,Bright,Collage-Like,Portrait
Wikiart_8,Hard Edge Painting,,Shapes Resembling Land And Sky,Green,Neutral,Horizontal Layers,Landscape
Wikiart_9,Abstract Art,,Concrete Structure,Earthy Tones,Neutral,Geometric,Sculpture
Wikiart_10,,,"Birds, Leaves",Vibrant Multicolors,Bright,"Patterned, Layered",Still Life
Wikiart_11,Art Informel,,Human-Like Figures,Red,Dark,Asymmetrical,Figurative
Wikiart_12,Symbolism,,"Man, Dog, Mountains",Predominantly Earthy Tones,Neutral,Balanced With A Central Figure,Landscape
Wikiart_13,Color Field Painting,,Rectangular Shapes,Red,Bold,Minimalist,Abstract
Wikiart_14,Neo-Pop Art,,Stairs,"Earth Tones, Muted Colors",Neutral,Central Focus,Still Life
Wikiart_15,Color Field Painting,,,Red,Bright,Color Field,Abstract
Wikiart_16,Abstract Art,,Abstract Forms,"Earth Tones, Predominantly Brown And Orange",Dark,"Organic, Fluid Shapes",
Wikiart_17,Contemporary Realism,,"Rocks, River, Trees",Green,Bright,Naturalistic,Landscape
Wikiart_18,Magic Realism,,"Tree, Hills",Green,Dark,Vertical Emphasis,Landscape
Wikiart_19,Art Brut,,"Buildings, Text",Blue,Neutral,Narrative With Dense Text,Landscape
Wikiart_20,Pop Art,,Seated Person,Muted Tones,Neutral,Centralized,Portrait
Wikiart_21,Naïve Art (Primitivism),,"Fruits, Bowl",Red,Bright,Centralized,Still Life
Wikiart_22,Pop Art,,"People, Interior",Various Bright Colors,Vibrant,"Dynamic, Crowded",Genre Painting
