nba_team,name,own_year
Detroit Pistons,Tom Gores,2011
Chicago Bulls,Jerry Reinsdorf,2009
,Gayle Marie LaJaunie Bird Benson,2018
Denver Nuggets,Enos Stanley Kroenke,2023
Philadelphia 76ers,Joshua Jordan Harris,2023
New York Knicks,,1999
Miami Heat,Micky Arison,1995
Golden State Warriors,Joseph Steven Lacob,2010
Cleveland Cavaliers,Dan Gilbert,2005
Los Angeles Clippers,Steven Anthony Ballmer,2014
Orlando Magic,Daniel G. DeVos,1991
Dallas Mavericks,Mark Cuban,2023
Houston Rockets,Tilman Joseph Fertitta,2017
Brooklyn Nets,Joseph Chung-Hsin Tsai,2017
Oklahoma City Thunder,Clayton Ike Bennett,2006
Indiana Pacers,Herbert Simon,1983
