name,team_name,city_name,state_name
aaron williams,Los Angeles Clippers,Los Angeles,California
andrew christian wiggins,Golden State Warriors,San Francisco,California
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota
brandan keith wright,Houston Rockets,Houston,Texas
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas
derrick chievous,Cleveland Cavaliers,Cleveland,Ohio
devin armani booker,Phoenix Suns,Phoenix,Arizona
draymond jamal green,Golden State Warriors,San Francisco,California
duncan mcbryde robinson,Miami Heat,Miami,Florida
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida
erick strickland,Milwaukee Bucks,Milwaukee,Wisconsin
garfield smith,Boston Celtics,Boston,Massachusetts
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas
jaime jaquez,Miami Heat,Miami,Florida
jay vincent jay fletcher vincent,Los Angeles Lakers,Los Angeles,California
jaylen marselles brown,Boston Celtics,Boston,Massachusetts
jayson christopher tatum,Boston Celtics,Boston,Massachusetts
jimmy butler,Miami Heat,Miami,Florida
john harding lucas,Houston Rockets,Houston,Texas
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
jrue randall holiday,Boston Celtics,Boston,Massachusetts
kevin wesley love,Miami Heat,Miami,Florida
kevon grant looney,Golden State Warriors,San Francisco,California
kurt thomas,New York Knicks,New York City,New York
kyle forman anderson,Golden State Warriors,San Francisco,California
kyrie andrew irving,Dallas Mavericks,Dallas,Texas
lamar brandon stevens,Memphis Grizzlies,Memphis,Tennessee
lonzo anderson ball,Chicago Bulls,Chicago,Illinois
mark price,Orlando Magic,Orlando,Florida
rik smits,Indiana Pacers,Indianapolis,Indiana
shaquille rashaun o'neal,Boston Celtics,Boston,Massachusetts
trayce jackson-davis,Golden State Warriors,San Francisco,California
tyler christopher herro,Miami Heat,Miami,Florida
vernon maxwell,Dallas Mavericks,Dallas,Texas
victor wembanyama,San Antonio Spurs,San Antonio,Texas
wardell stephen curry,Golden State Warriors,San Francisco,California
zach collins,San Antonio Spurs,San Antonio,Texas
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
