name,team_name,city_name,state_name,city.id,id,player.id,team.id
aaron williams,Utah Jazz,Salt Lake City,Utah,,,,
andrew christian wiggins,Golden State Warriors,San Francisco,California,,,,
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota,,,,
brandan keith wright,Golden State Warriors,San Francisco,California,,,,
"chavano rainer ""buddy"" hield",Golden State Warriors,San Francisco,California,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
derrick chievous,Houston Rockets,Houston,Texas,,,,
devin armani booker,Phoenix Suns,Phoenix,Arizona,,,,
draymond jamal green,Golden State Warriors,San Francisco,California,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
erick strickland,Dallas Mavericks,Dallas,Texas,,,,
garfield smith,Boston Celtics,Boston,Massachusetts,,,,
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jay vincent jay fletcher vincent,Dallas Mavericks,Dallas,Texas,,,,
jaylen marselles brown,Boston Celtics,Boston,Massachusetts,,,,
jayson christopher tatum,Boston Celtics,Boston,Massachusetts,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
john harding lucas,Houston Rockets,Houston,Texas,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,California,,,,
jrue randall holiday,Boston Celtics,Boston,Massachusetts,,,,
kevin wesley love,Miami Heat,Miami,Florida,,,,
kevon grant looney,Golden State Warriors,San Francisco,California,,,,
kurt thomas,Miami Heat,Miami,Florida,,,,
kyle forman anderson,Golden State Warriors,San Francisco,California,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,Texas,,,,
lamar brandon stevens,Cleveland Cavaliers,Cleveland,Ohio,,,,
lonzo anderson ball,Chicago Bulls,Chicago,Illinois,,,,
mark price,Cleveland Cavaliers,Cleveland,Ohio,,,,
rik smits,Indiana Pacers,Indianapolis,Indiana,,,,
shaquille rashaun o'neal,Sacramento Kings,Sacramento,California,,,,
trayce jackson-davis,Golden State Warriors,San Francisco,California,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
vernon maxwell,Houston Rockets,Houston,Texas,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
wardell stephen curry,Golden State Warriors,San Francisco,California,,,,
zach collins,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
