document_id,content
1.txt,"
Antonius Cleveland

Antonius Cleveland (born February 2, 1994) is an American professional basketball player for Lokomotiv Kuban of the VTB United League. He played college basketball for Southeast Missouri State University. He played in the NBA for the Dallas Mavericks and Atlanta Hawks.

Early life and high school career

Cleveland was born in Memphis, Tennessee, as the only child of mother Shonda Bowie. Bowie worked two jobs to support herself and Cleveland: as a nutrition supervisor for Mem"
10.txt,"
Toby Kimball

Thomas Kimball (September 7, 1942 – May 2, 2017) was an American professional basketball player from Framingham, Massachusetts.
As 6'8"" power forward/center at the University of Connecticut, Kimball averaged 18.4 points and 17.9 rebounds over three seasons.  He played in the NBA from 1966 to 1975 as a member of the Boston Celtics, San Diego Rockets, Milwaukee Bucks, Kansas City Kings, Philadelphia 76ers and New Orleans Jazz. Kimball averaged 6.1 points and 6.8 rebounds over his NB"
100.txt,"
Buddy Hield

Chavano Rainer ""Buddy"" Hield (/hiːld/ HEELD; born December 17, 1992) is a Bahamian professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He played college basketball for the Oklahoma Sooners and was named the Big 12 Conference Men's Basketball Player of the Year in 2015 and 2016. In 2016, he received four major national player of the year awards: the John R. Wooden Award, the Naismith Award, Sporting News Player of the Year, and "
101.txt,"
D'Angelo Russell

D'Angelo Russell (born February 23, 1996), nicknamed ""DLo"", is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He was selected as a McDonald's All-American in 2014 and played college basketball for the Ohio State Buckeyes. He was selected second overall in the 2015 NBA draft by the Lakers.
Playing point guard, Russell was named to the NBA All-Rookie Second Team with the Lakers in 2016. He was traded to the Bro"
102.txt,"
Joel Embiid

""Embiid"" redirects here. Not to be confused with Embiidae or Embid.
Joel Hans Embiid (/dʒoʊˈɛl ɛmˈbiːd/ joh-EL em-BEED; born 16 March 1994) is a Cameroonian-American[a] professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). After one year of college basketball with the Kansas Jayhawks, he was drafted third overall by the 76ers in the 2014 NBA draft. The 7-foot (2.13 m) Embiid is a seven-time NBA All-Star, a five-time member of the Al"
103.txt,"
Paul George

For other people named Paul George, see Paul George (disambiguation).
Paul Clifton Anthony George (born May 2, 1990) is an American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). Nicknamed ""PG-13"", he is a nine-time NBA All-Star and six-time member of the All-NBA Team, as well as a four-time member of the NBA All-Defensive Team.
George played high school basketball for Knight High School before playing two seasons of college "
104.txt,"
Kyrie Irving

Kyrie Andrew Irving (/ˈkaɪri/ KY-ree; Lakota: Ȟéla, lit. 'Little Mountain'; born March 23, 1992) is an American professional basketball player for the Dallas Mavericks of the National Basketball Association (NBA). He was named the Rookie of the Year after being selected by the Cleveland Cavaliers with the first overall pick in the 2011 NBA draft. An eight-time All-Star and three-time member of the All-NBA Team, Irving won an NBA championship with the Cavaliers in 2016. He is widel"
105.txt,"
Jayson Tatum

Jayson Christopher Tatum (/ˈteɪtəm/ TAY-təm; born March 3, 1998) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He was a McDonald's All-American in high school in Missouri and played college basketball for the Duke Blue Devils. Tatum was selected by the Boston Celtics with the third overall pick in the 2017 NBA draft and was voted to the NBA All-Rookie First Team in the 2018 season.  Tatum won the inaugural NBA Ea"
106.txt,"
Caleb Martin (basketball)

Caleb Martin (born September 28, 1995) is an American professional basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). He played college basketball for the NC State Wolfpack and the Nevada Wolf Pack. He was named the Mountain West Conference Player of the Year for the 2017–18 season by the league's coaches. He is the twin brother of Cody Martin.
An undrafted player in the 2019 NBA draft, Martin began his NBA career in the 2019–20"
107.txt,"
Andrew Wiggins

This is the latest accepted revision, reviewed on 29 August 2024.
For other people with similar names, see Andrew Wiggin (disambiguation) and Andrew Higgins (disambiguation).
Andrew Christian Wiggins (born February 23, 1995) is a Canadian professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He was selected with the first overall pick in the 2014 NBA draft by the Cleveland Cavaliers after one year of college basketball with th"
108.txt,"
Max Fiedler (basketball)

Max Berning Fiedler (born February 26, 2001) is an American basketball player for the Philadelphia 76ers of the National Basketball Association (NBA). He played college basketball for the Rice Owls.
Fiedler attended Melbourne High School in Melbourne, Florida, where he averaged 21.6 points, 14.3 rebounds and 2.5 blocks as a senior, helping the Bulldogs reach a 25–5 record while leading them to the District 6-8A championship and a spot in the FHSAA playoffs.
Fiedler pla"
109.txt,"
OG Anunoby

Ogugua ""OG"" Anunoby Jr. (born 17 July 1997) is a British professional basketball player for the New York Knicks of the National Basketball Association (NBA). He played college basketball for the Indiana Hoosiers. He won an NBA championship with the Toronto Raptors in 2019 and led the league in steals while being named to his first NBA All-Defensive Team in 2023.
Ogugua Anunoby was born in London, England on 17 July 1997, to Nigerian parents of Igbo descent. His father, Ogugua Sr., t"
11.txt,"
Derek Grimm

William Derek Grimm (born August 3, 1974) is an American professional basketball player.
A 6'9"" forward from the University of Missouri, Grimm was never drafted by a National Basketball Association (NBA) team but did play for the Sacramento Kings during the 1997–98 NBA season. He appeared in nine games and scored a total of 14 points. Born in Peoria, Illinois, he was selected by the La Crosse Bobcats in the fifth round (50th overall) of the 1997 CBA Draft. He also played with the C"
110.txt,"
Jaylen Brown

This article is about the NBA player. For the WNBA player, see Jaelyn Brown. For the soccer player, see Jalen Brown.
Jaylen Marselles Brown (born October 24, 1996) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He played one year of college basketball for the California Golden Bears and was named first-team all-conference and Freshman of the Year in the Pac-12 Conference.
Declaring for the 2016 NBA draft after his"
111.txt,"
Victor Wembanyama

Victor Wembanyama (/ˌwɛmbənˈjɑːmə/ WEM-bən-YAH-mə; French: [viktɔʁ wɛmbanjama]; born 4 January 2004), nicknamed ""Wemby"" or ""the Alien"", is a French professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). Considered one of the best basketball prospects of his generation, he was selected first overall by the Spurs in the 2023 NBA draft. With a listed height of 7 feet 4 inches (2.24 metres), Wembanyama is tied with Zach Edey as the "
112.txt,"
Jrue Holiday

Jrue Randall Holiday (/druː/ DROO; born June 12, 1990) is an American professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He played college basketball for one season with the UCLA Bruins before being selected by the Philadelphia 76ers in the first round of the 2009 NBA draft with the 17th overall pick.
Holiday played four seasons with Philadelphia before being traded to the New Orleans Pelicans in 2013. In 2020, he was traded to the "
113.txt,"
Austin Reaves

Austin Tyler Reaves (born May 29, 1998) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He played college basketball for the Wichita State Shockers and the Oklahoma Sooners. He joined the Lakers as an undrafted free agent.
Reaves attended Cedar Ridge High School in Newark, Arkansas. He won back-to-back Class 2A state titles in his first two years. Reaves scored 73 points in a triple-overtime win over Forrest C"
114.txt,"
Kevin Love

This article is about the basketball player. For the NASCAR driver, see Kevin Love (racing driver).
Kevin Wesley Love (born September 7, 1988) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He is a five-time All-Star and a two-time member of the All-NBA Second Team, winning an NBA championship with the Cleveland Cavaliers in 2016. He was also a member of the gold medal-winning United States national team at the 2010 FIB"
115.txt,"
Giannis Antetokounmpo

Giannis Sina Ugo Antetokounmpo[a] (born Adetokunbo;[b] December 6, 1994) is a Greek and Nigerian professional basketball player for the Milwaukee Bucks of the National Basketball Association (NBA). His size, speed, strength, and country of origin have earned him the nickname ""Greek Freak"". He is widely regarded as one of the greatest power forwards of all time as well as one of the greatest players of all time.
Born and raised in Athens to Nigerian parents, Antetokounmpo "
116.txt,"
Stephen Curry

For other people named Stephen Curry, see Stephen Curry (disambiguation).
Wardell Stephen Curry II (/ˈstɛfən/ STEF-ən; born March 14, 1988) is an American professional basketball player and point guard for the Golden State Warriors of the National Basketball Association (NBA). Widely regarded as the greatest shooter, and one of the greatest players of all time, Curry is credited with revolutionizing the sport by inspiring teams and players to take more three-point shots. He is a "
117.txt,"
Al Horford

In this Spanish name, the first or paternal surname is  Horford and the second or maternal family name is  Reynoso.
Alfred Joel Horford Reynoso OMDSM (born June 3, 1986), nicknamed ""Big Al"", is a Dominican professional basketball player for the Boston Celtics of the National Basketball Association (NBA). He is a five-time NBA All-Star and won the 2024 NBA Finals.
Horford played college basketball for the Florida Gators and was the starting center on their back-to-back National Colle"
118.txt,"
Tyler Herro

Tyler Christopher Herro (/ˈhiːroʊ/ HEE-roh; born January 20, 2000) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). He played college basketball for one year with the Kentucky Wildcats. After being selected by the Heat in the first round of the 2019 NBA draft with the 13th overall pick, Herro was named to the NBA All-Rookie Second Team in 2020. During his rookie season with the Heat, he reached the NBA Finals. He was nam"
119.txt,"
Duncan Robinson

For the British art historian, see Duncan Robinson (art historian).
Duncan McBryde Robinson (born April 22, 1994) is an American professional basketball player for the Miami Heat  of the National Basketball Association (NBA). He played college basketball for the NCAA Division III Williams College Ephs and then the NCAA Division I Michigan Wolverines. He transferred to Michigan after leading Williams College to the 2014 NCAA Division III men's basketball tournament championship "
12.txt,"
Anthony Davis

For other people with the same name, see Anthony Davis (disambiguation).
Anthony Marshon Davis Jr. (born March 11, 1993), nicknamed ""AD"", is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). He previously played for the New Orleans Pelicans. He plays the power forward and center positions. Davis is a nine-time NBA All-Star and has been named to four All-NBA First Teams and five NBA All-Defensive Teams. In his first"
120.txt,"
Kyle Anderson (basketball)

Kyle Forman Anderson (born September 20, 1993), also known as Li Kai'er[a] (simplified Chinese: 李凯尔; traditional Chinese: 李凱爾; pinyin: Lǐ Kǎi'ěr), is an American-Chinese professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). Born in the United States, he played college basketball for the UCLA Bruins. After earning All-American honors as a sophomore in 2013–14, he declared for the 2014 NBA draft and was selected in t"
121.txt,"
Cade Cunningham

Cade Parker Cunningham (born September 25, 2001) is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA). He attended Bowie High School in his hometown of Arlington, Texas, before transferring to Montverde Academy in Florida, where he was rated a consensus five-star recruit and among the top players in the 2020 class by major recruiting services. As a senior, he led one of the best high school teams in history and recei"
122.txt,"
LeBron James

""LeBron"" redirects here. For his son LeBron James Jr., see Bronny James. For other people with the name, see Lebrón.
LeBron Raymone James Sr. (/ləˈbrɒn/; lə-BRON; born December 30, 1984) is an American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA). Nicknamed ""King James"", he is widely recognized as one of the greatest players in the sport's history and is often compared with Michael Jordan in debates over the greatest basket"
123.txt,"
Jimmy Butler

For other people with similar names, see Jimmy Butler (disambiguation).
Jimmy Butler III (born September 14, 1989) is an American professional basketball player for the Miami Heat of the National Basketball Association (NBA). Nicknamed ""Jimmy Buckets"", he is a six-time NBA All-Star, a five-time All-NBA Team member, and a five-time NBA All-Defensive Team member. He won a gold medal as a member of the 2016 U.S. Olympic team.
Butler played one year of college basketball for Tyler Jun"
124.txt,"
Kevon Looney

Kevon Grant Looney (/kəˈvɒn/ kə-VON; born February 6, 1996) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). As a freshman playing college basketball with the UCLA Bruins, he earned second-team all-conference honors in the Pac-12 in 2015. After the season, Looney decided to forgo his college eligibility and enter the 2015 NBA draft, and was selected in the first round by Golden State with the 30th overall pic"
125.txt,"
Zach LaVine

Zachary Thomas LaVine (/ləˈviːn/ lə-VEEN; born March 10, 1995) is an American professional basketball player for the Chicago Bulls of the National Basketball Association (NBA). He was selected in the first round of the 2014 NBA draft with the 13th overall pick by the Minnesota Timberwolves. A two-time Slam Dunk Contest champion, he was named an NBA All-Star in 2021 and 2022. He also won a gold medal on the 2020 U.S. Olympic team in Tokyo.
LaVine grew up in the Seattle area, where h"
126.txt,"
Jaden Ivey

Jaden Edward Dhananjay Ivey (born February 13, 2002) is an American professional basketball player for the Detroit Pistons of the National Basketball Association (NBA). He played college basketball for the Purdue Boilermakers.
Ivey grew up playing football, basketball and soccer, and practicing karate. He started focusing on basketball as a freshman in high school. Ivey played for Marian High School in Mishawaka, Indiana in his first three years. For his senior season, he transferre"
