name,nationality,age,team_name,location,id,player.id,team.id
andrew christian wiggins,Canadian,29.0,Golden State Warriors,,,,
anthony edwards,American,23.0,Minnesota Timberwolves,,,,
caleb martin,,28.0,Philadelphia 76ers,,,,
christopher emmanuel paul,,39.6,San Antonio Spurs,,,,
devin armani booker,American-born naturalized Azerbaijani,27.3,Phoenix Suns,,,,
draymond jamal green,,,Golden State Warriors,,,,
duncan mcbryde robinson,,30.0,Miami Heat,,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,,,,
isiah thomas,,,Detroit Pistons,,,,
jabari dominic walker,American,21.0,Portland Trail Blazers,,,,
jaylen marselles brown,American,,Boston Celtics,,,,
jimmy butler,,34.0,Miami Heat,,,,
jonathan malangu kuminga,Congolese,21.634,Golden State Warriors,,,,
jrue randall holiday,American,34.0,Boston Celtics,,,,
kevin wesley love,,35.0,Miami Heat,,,,
kevon grant looney,,,Golden State Warriors,,,,
kurt thomas,,41.0,Miami Heat,,,,
kyle forman anderson,,,Golden State Warriors,,,,
kyle terrell lowry,American,,Philadelphia 76ers,,,,
kyrie andrew irving,American-Venezuelan,32.0,Dallas Mavericks,,,,
max berning fiedler,,23.0,Philadelphia 76ers,,,,
paul clifton anthony george,American,34.0,Philadelphia 76ers,,,,
rik smits,Dutch,22.0,Indiana Pacers,,,,
victor wembanyama,French,19.583333333333336,San Antonio Spurs,,,,
zachary thomas lavine,American,,Chicago Bulls,,,,
