name,nationality,age,team_name,location
andrew christian wiggins,Canadian,30,Golden State Warriors,San Francisco
anthony edwards,American,24,Minnesota Timberwolves,Minneapolis
caleb martin,American,30,Philadelphia 76ers,Philadelphia
christopher emmanuel paul,American,40,San Antonio Spurs,San Antonio
devin armani booker,American,28,Phoenix Suns,Phoenix
draymond jamal green,American,35,Golden State Warriors,San Francisco
duncan mcbryde robinson,American,31,Miami Heat,Miami
harrison bryce jordan barnes,American,33,San Antonio Spurs,San Antonio
isiah thomas,American,64,Detroit Pistons,Detroit
jabari dominic walker,American,23,Portland Trail Blazers,Portland
jaylen marselles brown,American,29,Boston Celtics,Boston
jimmy butler,American,36,Miami Heat,Miami
jonathan malangu kuminga,Congolese,23,Golden State Warriors,San Francisco
jrue randall holiday,American,35,Boston Celtics,Boston
kevin wesley love,American,37,Miami Heat,Miami
kevon grant looney,American,29,Golden State Warriors,San Francisco
kurt thomas,American,53,New York Knicks,New York City
kyle forman anderson,American-Chinese,33,Golden State Warriors,San Francisco
kyle terrell lowry,American,39,Philadelphia 76ers,Philadelphia
kyrie andrew irving,American,33,Dallas Mavericks,Dallas
max berning fiedler,American,24,Philadelphia 76ers,Philadelphia
paul clifton anthony george,American,35,Philadelphia 76ers,Philadelphia
rik smits,Dutch,59,Indiana Pacers,Indianapolis
victor wembanyama,French,21,San Antonio Spurs,San Antonio
zachary thomas lavine,American,30,Chicago Bulls,Chicago
