university_name,year_founded,rank,file
College of William and Mary,1693,31,0955.txt
Knox College,1837,75,0193.txt
Union College,1795,41,0628.txt
Union University,1823,15,0630.txt
Wake Forest University,1834,25,0806.txt
Tulane University,1834,51,0626.txt
St. Louis University,1818,86,0537.txt
Hollins University ,1842,105,0149.txt
Williams College,1793,1,0884.txt
Denison University,1831,51,1001.txt
Rensselaer Polytechnic Institute,1824,41,0434.txt
Georgetown University,1789,21,0103.txt
Lawrence University,1847,67,0204.txt
George Washington University,1821,51,0104.txt
Virginia Commonwealth University,1838,167,0799.txt
College of Mount St. Vincent,1847,117,0943.txt
Wesleyan College,1836,158,0826.txt
