name,draft_pick,college,team_name,id,player.id,team.id
aaron williams,0.0,Xavier University,Utah Jazz,,,
anthony edwards,1.0,Georgia,Minnesota Timberwolves,,,
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers,,,
ausar xlnc thompson,5.0,None,Detroit Pistons,,,
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons,,,
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs,,,
dan anderson,2.0,,Trail Blazers,,,
derrick chievous,16.0,University of Missouri,Houston Rockets,,,
don anielak,26.0,Southwest Missouri State,New York Knicks,,,
duncan mcbryde robinson,0.0,Williams College,Miami Heat,,,
"edrice femi ""bam"" adebayo",14.0,Kentucky,Miami Heat,,,
erick strickland,0.0,University of Nebraska,Dallas Mavericks,,,
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks,,,
harrison bryce jordan barnes,7.0,North Carolina,San Antonio Spurs,,,
"harry junior ""the horse"" gallatin",20.0,Truman State University,New York Knicks,,,
isiah thomas,2.0,Indiana,Detroit Pistons,,,
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons,,,
jaime jaquez,18.0,UCLA,Miami Heat,,,
jalen marquis brunson,33.0,Villanova University,New York Knicks,,,
jamal crawford,8.0,University of Michigan,Chicago Bulls,,,
jarrett jack,22.0,Georgia Tech,Detroit Pistons,,,
jay vincent jay fletcher vincent,24.0,Michigan State,Dallas Mavericks,,,
jaylen marselles brown,3.0,California,Boston Celtics,,,
jayson christopher tatum,3.0,Duke,Boston Celtics,,,
jimmy butler,30.0,"Tyler Junior College, Marquette University",Miami Heat,,,
john harding lucas,1.0,University of Maryland,Houston Rockets,,,
kevin wesley love,5.0,UCLA,Miami Heat,,,
kobe bean bryant,13.0,,Los Angeles Lakers,,,
kyle forman anderson,30.0,UCLA,Minnesota Timberwolves,,,
kyrie andrew irving,1.0,Duke,Cleveland Cavaliers,,,
lebron raymone james,1.0,N/A,Los Angeles Lakers,,,
magic johnson,1.0,Michigan State,Los Angeles Lakers,,,
"ogugua ""og"" anunoby",23.0,Indiana,New York Knicks,,,
shaquille rashaun o'neal,1.0,LSU,Orlando Magic,,,
tim duncan,1.0,Wake Forest Demon Deacons,San Antonio Spurs,,,
tyler christopher herro,13.0,Kentucky,Miami Heat,,,
vernon maxwell,2.0,University of Florida,Houston Rockets,,,
victor wembanyama,1.0,,San Antonio Spurs,,,
zachary thomas lavine,13.0,UCLA,Chicago Bulls,,,
