name,draft_pick,college,team_name
aaron williams,0.0,Xavier University,Los Angeles Clippers
anthony edwards,1.0,Georgia,Minnesota Timberwolves
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers
ausar xlnc thompson,5.0,,Detroit Pistons
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
dan anderson,2.0,,Portland Trail Blazers
derrick chievous,16.0,University of Missouri,Cleveland Cavaliers
don anielak,26.0,Southwest Missouri State University,New York Knicks
duncan mcbryde robinson,0.0,"Williams College, University of Michigan",Miami Heat
"edrice femi ""bam"" adebayo",14.0,University of Kentucky,Miami Heat
erick strickland,0.0,University of Nebraska,Milwaukee Bucks
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
"harry junior ""the horse"" gallatin",20.0,Northeast Missouri State Teachers' College,Detroit Pistons
isiah thomas,2.0,Indiana Hoosiers,Detroit Pistons
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons
jaime jaquez,18.0,UCLA,Miami Heat
jalen marquis brunson,33.0,Villanova University,New York Knicks
jamal crawford,8.0,University of Michigan,Brooklyn Nets
jarrett jack,22.0,Georgia Tech,Detroit Pistons
jay vincent jay fletcher vincent,24.0,Michigan State Spartans,Los Angeles Lakers
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
john harding lucas,1.0,University of Maryland,Houston Rockets
kevin wesley love,5.0,UCLA,Miami Heat
kobe bean bryant,13.0,,Los Angeles Lakers
kyle forman anderson,30.0,UCLA,Golden State Warriors
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lebron raymone james,1.0,,Los Angeles Lakers
magic johnson,1.0,Michigan State,Los Angeles Lakers
"ogugua ""og"" anunoby",23.0,Indiana University,New York Knicks
shaquille rashaun o'neal,1.0,Louisiana State University (LSU),Boston Celtics
tim duncan,1.0,Wake Forest University,San Antonio Spurs
tyler christopher herro,13.0,University of Kentucky,Miami Heat
vernon maxwell,2.0,University of Florida,Dallas Mavericks
victor wembanyama,1.0,,San Antonio Spurs
zachary thomas lavine,13.0,UCLA,Chicago Bulls
