name,draft_pick,college,team_name
aaron williams,0.0,Xavier University,Los Angeles Clippers
andre jamal drummond,9.0,University of Connecticut,Philadelphia 76ers
andrew christian wiggins,1.0,Kansas Jayhawks,Golden State Warriors
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers
ausar xlnc thompson,5.0,,Detroit Pistons
austin tyler reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons
"chavano rainer ""buddy"" hield",6.0,Oklahoma Sooners,Golden State Warriors
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
dan anderson,2.0,,Portland Trail Blazers
derek grimm,0.0,University of Missouri,Sacramento Kings
derrick chievous,16.0,University of Missouri,Cleveland Cavaliers
devin armani booker,13.0,Kentucky Wildcats,Phoenix Suns
draymond jamal green,35.0,Michigan State University,Golden State Warriors
duncan mcbryde robinson,0.0,"Williams College, University of Michigan",Miami Heat
"edrice femi ""bam"" adebayo",14.0,University of Kentucky,Miami Heat
erick strickland,0.0,University of Nebraska,Milwaukee Bucks
gregory clinton foster,35.0,UTEP,Indiana Pacers
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
isiah thomas,2.0,Indiana Hoosiers,Detroit Pistons
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons
jaime jaquez,18.0,UCLA,Miami Heat
jamal crawford,8.0,University of Michigan,Brooklyn Nets
jarrett jack,22.0,Georgia Tech,Detroit Pistons
jay vincent jay fletcher vincent,24.0,Michigan State Spartans,Los Angeles Lakers
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
john harding lucas,1.0,University of Maryland,Houston Rockets
jonathan malangu kuminga,7.0,,Golden State Warriors
jrue randall holiday,17.0,UCLA,Boston Celtics
kevin wayne durant,2.0,University of Texas at Austin,Phoenix Suns
kevon grant looney,30.0,UCLA,Golden State Warriors
kobe bean bryant,13.0,,Los Angeles Lakers
kyle terrell lowry,24.0,Villanova Wildcats,Philadelphia 76ers
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lamar brandon stevens,0.0,Penn State Nittany Lions,Memphis Grizzlies
magic johnson,1.0,Michigan State,Los Angeles Lakers
rik smits,2.0,Marist College,Indiana Pacers
steve kerr,50.0,University of Arizona,Golden State Warriors
tim duncan,1.0,Wake Forest University,San Antonio Spurs
trayce jackson-davis,57.0,Indiana Hoosiers,Golden State Warriors
vernon maxwell,2.0,University of Florida,Dallas Mavericks
victor wembanyama,1.0,,San Antonio Spurs
wardell stephen curry,7.0,Davidson,Golden State Warriors
zachary thomas lavine,13.0,UCLA,Chicago Bulls
