name,draft_pick,college,team_name,id,player.id,team.id
aaron williams,0.0,Xavier University,Utah Jazz,,,
andre jamal drummond,9.0,Connecticut Huskies,Detroit Pistons,,,
andrew christian wiggins,1.0,Kansas,Golden State Warriors,,,
anthony marshon davis,1.0,Kentucky Wildcats,Los Angeles Lakers,,,
ausar xlnc thompson,5.0,,Detroit Pistons,,,
austin tyler reaves,0.0,Wichita State,Los Angeles Lakers,,,
cade parker cunningham,1.0,Oklahoma State,Detroit Pistons,,,
"chavano rainer ""buddy"" hield",6.0,Oklahoma Sooners,Golden State Warriors,,,
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs,,,
dan anderson,2.0,,Trail Blazers,,,
derek grimm,50.0,Missouri,Sacramento Kings,,,
derrick chievous,16.0,University of Missouri,Houston Rockets,,,
devin armani booker,13.0,Kentucky,Phoenix Suns,,,
draymond jamal green,35.0,Michigan State,Golden State Warriors,,,
duncan mcbryde robinson,0.0,Williams College,Miami Heat,,,
"edrice femi ""bam"" adebayo",14.0,Kentucky,Miami Heat,,,
erick strickland,0.0,University of Nebraska,Dallas Mavericks,,,
gregory clinton foster,35.0,UTEP,Indiana Pacers,,,
harrison bryce jordan barnes,7.0,North Carolina,San Antonio Spurs,,,
isiah thomas,2.0,Indiana,Detroit Pistons,,,
jaden edward dhananjay ivey,5.0,Purdue,Detroit Pistons,,,
jaime jaquez,18.0,UCLA,Miami Heat,,,
jamal crawford,8.0,University of Michigan,Chicago Bulls,,,
jarrett jack,22.0,Georgia Tech,Detroit Pistons,,,
jay vincent jay fletcher vincent,24.0,Michigan State,Dallas Mavericks,,,
jaylen marselles brown,3.0,California Golden Bears,Boston Celtics,,,
jayson christopher tatum,3.0,Duke,Boston Celtics,,,
jimmy butler,30.0,"Tyler Junior College, Marquette University",Miami Heat,,,
john harding lucas,1.0,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7.0,,Golden State Warriors,,,
jrue randall holiday,17.0,UCLA,Boston Celtics,,,
kevin wayne durant,2.0,Texas,Brooklyn Nets,,,
kevon grant looney,30.0,UCLA,Golden State Warriors,,,
kobe bean bryant,13.0,N/A,Los Angeles Lakers,,,
kyle terrell lowry,24.0,Villanova,Memphis Grizzlies,,,
kyrie andrew irving,1.0,Duke,Brooklyn Nets,,,
lamar brandon stevens,0.0,Penn State,Memphis Grizzlies,,,
magic johnson,1.0,Michigan State,Los Angeles Lakers,,,
rik smits,2.0,Marist College,Indiana Pacers,,,
steve kerr,50.0,Arizona,Golden State Warriors,,,
tim duncan,1.0,Wake Forest Demon Deacons,San Antonio Spurs,,,
trayce jackson-davis,57.0,Indiana,Golden State Warriors,,,
vernon maxwell,2.0,University of Florida,Houston Rockets,,,
victor wembanyama,1.0,,San Antonio Spurs,,,
wardell stephen curry,7.0,Davidson,Golden State Warriors,,,
zachary thomas lavine,13.0,UCLA,Chicago Bulls,,,
