name,position,city_name,population,city.id,id,player.id,team.id
andrew christian wiggins,Forward,San Francisco,808988.0,,,,
anthony edwards,Shooting Guard,Minneapolis,429954.0,,,,
anthony marshon davis,power forward and center,Los Angeles,3792621.0,,,,
austin tyler reaves,Guard,Los Angeles,3792621.0,,,,
caleb martin,small forward,Miami,442241.0,,,,
"chavano rainer ""buddy"" hield",,San Francisco,808988.0,,,,
d'angelo russell,point guard,Los Angeles,3792621.0,,,,
devin armani booker,Backcourt,Phoenix,1662607.0,,,,
drew edward gordon,power forward,Dallas,1304379.0,,,,
duncan mcbryde robinson,Backcourt,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami,442241.0,,,,
jaime jaquez,Forward,Miami,442241.0,,,,
jaylen marselles brown,Shooting Guard and Small Forward,Boston,675647.0,,,,
jayson christopher tatum,Frontcourt,Boston,675647.0,,,,
jonathan malangu kuminga,Backcourt,San Francisco,808988.0,,,,
kevon grant looney,Backcourt,San Francisco,808988.0,,,,
kyrie andrew irving,Backcourt,Dallas,1304379.0,,,,
lonzo anderson ball,point guard,New Orleans,383997.0,,,,
trayce jackson-davis,Forward,San Francisco,808988.0,,,,
tyler christopher herro,Backcourt,Miami,442241.0,,,,
victor wembanyama,Frontcourt,San Antonio,2608798.0,,,,
zach collins,Center,San Antonio,2608798.0,,,,
zachary thomas lavine,Point guard,Chicago,2746388.0,,,,
