name,position,team
Antonius Cleveland,,Lokomotiv Kuban
Jay Vincent Jay Fletcher Vincent,Frontcourt,Los Angeles Lakers
Nikola Radi?evi?,Backcourt,Cedevita Olimpija
Fran Curran Francis Hugh Curran Sr.,,Rochester Royals
Mark Price,Backcourt,Orlando Magic
David Michineau,Backcourt,Bursaspor Basketbol
Donta Hall,,Saski Baskonia
Erick Strickland,,Milwaukee Bucks
David Lattin,Frontcourt,New Orleans Jazz
Toby Kimball,Frontcourt,New Orleans Jazz
Derek Grimm,Frontcourt,Sacramento Kings
Anthony Marshon Davis Jr.,Frontcourt,Los Angeles Lakers
Brandan Keith Wright,,Houston Rockets
Askia Rahman Jones,Backcourt,Guaros de Lara
Carrick Felix,Backcourt,Melbourne United
Mychel Thompson,Backcourt,Santa Cruz Warriors
Marvin Roberts,,
"Kenneth ""Apple"" Green",,New York Knicks
Gerald Madkins Jr.,,Grand Rapids Hoops
Don Anielak,,New York Knicks
Philip Douglas Jackson,Frontcourt,Los Angeles Lakers
Anthony Avent,Frontcourt,PAOK Thessaloniki
Drew Edward Gordon,Frontcourt,Philadelphia 76ers
Jarrett Jack,,Detroit Pistons
Rick Hughes,,HTV Basket
Lavoy Allen,,Philadelphia 76ers
Ed Dahler Edward Dahler Jr.,,Philadelphia Warriors
Magic Johnson,Backcourt,Los Angeles Lakers
Stanley M. Noszka,,Boston Celtics
Isiah Thomas,Backcourt,Detroit Pistons
Dan Anderson,,Portland Trail Blazers
Jahlil Okafor,,Capitanes de Arecibo
Trent Tucker,Backcourt,Chicago Bulls
Dwayne Kenneth Schintzius,Frontcourt,Brevard Blue Ducks
Miles Julian Simon,Backcourt,Phoenix Suns
Guy William Rodgers,,Milwaukee Bucks
Vernon Maxwell,Backcourt,Dallas Mavericks
Tim Duncan,Frontcourt,San Antonio Spurs
Walter Berry,Frontcourt,Panteras de Miranda
James Patrick Walsh,Frontcourt,Philadelphia Warriors
Tony Lorenzo Delk,,New Mexico State
Calvin Ramsey,Frontcourt,New York Knicks
Gene Dyker Eugene Walter Dyker,Frontcourt,Milwaukee Hawks
Derrick Chievous,Frontcourt,Cleveland Cavaliers
Rik Smits,Frontcourt,Indiana Pacers
"Harry Junior ""The Horse"" Gallatin",Frontcourt,Detroit Pistons
Jim Brasco,,Milwaukee Hawks
Darnell Hillman,Frontcourt,Golden State Warriors
Larry Robinson,Frontcourt,Senior Consultant to Hockey Operations for the St. Louis Blues
Nicholas William Calathes,Backcourt,AS Monaco
Rod Derline,Backcourt,Seattle SuperSonics
