name,position,city_name,population
anthony marshon davis,Frontcourt,Los Angeles,"3,820,914"
caleb martin,Frontcourt,Philadelphia,1603797
devin armani booker,Backcourt,Phoenix,1662607
duncan mcbryde robinson,,Miami,442241
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee,"577,222"
harrison bryce jordan barnes,,San Antonio,1434625
jaime jaquez,,Miami,442241
jalen marquis brunson,,New York City,8258035
kyrie andrew irving,,Dallas,1304379
lamar brandon stevens,,Memphis,633104
max berning fiedler,,Philadelphia,1603797
victor wembanyama,Frontcourt,San Antonio,1434625
