university_name,academic_calendar,campus_size,file
Hollins University,4-1-4-based,NAN,0149.txt
Williams College,4-1-4-based, 2000,0884.txt
Hampshire College,4-1-4-based, 1400 students,0128.txt
Hamline University,4-1-4-based, 60 acres,0126.txt
Bethel St Paul,4-1-4-based,NAN,0319.txt
Massachusetts Maritime Academy,4-1-4-based,NAN,0255.txt
Luther College,4-1-4-based,NAN,0227.txt
Converse College,4-1-4-based, 70 acres,0975.txt
New College of Florida,4-1-4-based,114 acres,0341.txt
Union University,4-1-4-based,NAN,0630.txt
