founded_year,ownership,team_name
1946,,Atlanta Hawks
1946,,Boston Celtics
1967,Joseph Tsai,Brooklyn Nets
1988,Gabe Plotkin and Rick Schnall,Charlotte Hornets
1966,,Chicago Bulls
1970,Dan Gilbert,Cleveland Cavaliers
1980,Mark Cuban,Dallas Mavericks
1967,,Denver Nuggets
1937,Bill Davidson,Detroit Pistons
1946,,Golden State Warriors
1967,,Houston Rockets
1967,,Indiana Pacers
1970,Shelly Sterling (as of the latest data),Los Angeles Clippers
1946,,Los Angeles Lakers
1995,,Memphis Grizzlies
1988,,Miami Heat
1968,,Bucks
1989,Glen Taylor,Minnesota Timberwolves
2002,,New Orleans Pelicans
1967,,Oklahoma City Thunder
1989,DeVos family,Orlando Magic
1946,Harris Blitzer Sports & Entertainment (HBSE),Philadelphia 76ers
1968,,Phoenix Suns
1970,Paul Allen via Vulcan Inc.,Portland Trail Blazers
1946,,Sacramento Kings
1973,,San Antonio Spurs
1995,,Toronto Raptors
1974,,Utah Jazz
1961,Ted Leonsis through Monumental Sports & Entertainment,Washington Wizards
