area,city_name,gdp
5280.0,Denver,-1.0
48.4,Boston,-1.0
368.0,Indianapolis,-1.0
385.8,Dallas,-1.0
650.93,San Antonio,-1.0
469.0,Los Angeles,100000000000.0
59.0,Minneapolis,-1.0
-1.0,Miami,34490000000.0
9.1,Inglewood,-1.0
145.09,Portland,-1.0
46.9,San Francisco,312000.0
-1.0,Philadelphia,-1.0
-1.0,New Orleans,-1.0
-1.0,Chicago,68900000000.0
-1.0,Orlando,-1.0
110.4,Salt Lake City,-1.0
630.2,Toronto,-1.0
517.9,Phoenix,362.0
-1.0,Washington,-1.0
82.47,Cleveland,138300000000.0
637.4,Houston,-1.0
100.1,Sacramento,-1.0
142.87,Detroit,-1.0
324.0,"Memphis, Tennessee",-1.0
310.02,Charlotte,-1.0
300.46,New York City,25871.0
620.34,Oklahoma City,-1.0
96.8,Milwaukee,10200000000.0
134.0,Atlanta,47300000000.0
