nba_team,name,own_year
Detroit Pistons,,2011
Cleveland Cavaliers,,2005
Los Angeles Clippers,Steve Ballmer,2014
Orlando Magic,,1991
Dallas Mavericks,Mark Cuban,2000
Houston Rockets,,2017
Brooklyn Nets,Joseph Tsai,2019
Oklahoma City Thunder,Clay Bennett,2006
Indiana Pacers,Herbert Simon,1983
Chicago Bulls,,1985
New Orleans Pelicans,Gayle Marie LaJaunie Bird Benson,2018
Denver Nuggets,,-1
Philadelphia 76ers,Joshua Jordan Harris,2011
New York Knicks,,-1
Miami Heat,Micky Arison,1995
Golden State Warriors,Joe Lacob,2010
